ObCity,ObMean,ObLowFid,ObHighFid,ObMeanByUS,DbRelByUS,Ob_Lat,Ob_Log
Ob_AK_Anchorage,36.3,35,37.6,30.1,0.21,61.21028649,-149.8759827
Ob_AK_Anchorage,33.5,32.1,34.7,30.1,0.11,61.1593945,-149.8998667
Ob_AK_Anchorage,39,38.2,39.8,30.1,0.3,61.22337238,-149.7233232
Ob_AK_Anchorage,33.4,32,34.8,30.1,0.11,61.1880188,-149.7633967
Ob_AK_Anchorage,33.2,31.5,34.6,30.1,0.1,61.33087687,-149.5747474
Ob_AK_Anchorage,30,28.2,31.7,30.1,0,61.27402825,-149.8195706
Ob_AK_Anchorage,32.1,30.8,33.5,30.1,0.07,61.14474144,-149.8192078
Ob_AK_Anchorage,33.6,32.4,34.6,30.1,0.12,61.23468983,-149.9140348
Ob_AK_Anchorage,35.5,34.6,36.3,30.1,0.18,61.17696627,-149.9202508
Ob_AK_Anchorage,33,31.7,34.3,30.1,0.1,61.17388151,-149.848209
Ob_AK_Anchorage,29.5,27.7,30.9,30.1,-0.02,61.27900739,-149.6598486
Ob_AK_Anchorage,31.8,30.1,33.4,30.1,0.06,60.96117868,-149.073965
Ob_AK_Anchorage,36,34.8,37.2,30.1,0.2,61.19941484,-149.8914349
Ob_AK_Anchorage,33.2,31.9,34.4,30.1,0.1,61.18731311,-149.9527658
Ob_AK_Anchorage,32.5,31.1,33.9,30.1,0.08,61.12541606,-149.8038154
Ob_AK_Anchorage,34.4,33.2,35.5,30.1,0.14,61.12859062,-149.8901891
Ob_AK_Anchorage,33,31.3,34.6,30.1,0.1,61.32863559,-149.5379819
Ob_AK_Anchorage,32.5,31.2,33.7,30.1,0.08,61.15927395,-149.819469
Ob_AK_Anchorage,32.7,31.4,33.9,30.1,0.09,61.18978485,-149.8067788
Ob_AK_Anchorage,37.8,36.3,39.3,30.1,0.26,61.21770919,-149.8912603
Ob_AK_Anchorage,33.9,32.4,35.4,30.1,0.13,61.1915444,-149.8522724
Ob_AK_Anchorage,36.1,35,37.2,30.1,0.2,61.21751149,-149.7443976
Ob_AK_Anchorage,35.7,34.3,37,30.1,0.19,61.1880643,-149.7336484
Ob_AK_Anchorage,35.4,34.1,36.6,30.1,0.18,61.1885502,-149.9376005
Ob_AK_Anchorage,31.8,30.2,33.4,30.1,0.06,61.12144732,-149.6399278
Ob_AK_Anchorage,42.9,42.1,43.6,30.1,0.43,61.215062,-149.8362795
Ob_AK_Anchorage,34.8,33,36.5,30.1,0.16,61.26340705,-148.8338659
Ob_AK_Anchorage,31.2,29.6,32.8,30.1,0.04,61.14642123,-150.1503754
Ob_AK_Anchorage,34.9,34,35.8,30.1,0.16,61.18391065,-149.8804709
Ob_AK_Anchorage,32.3,31.1,33.5,30.1,0.07,61.10456585,-149.9802165
Ob_AK_Anchorage,36.5,35.4,37.5,30.1,0.21,61.20309439,-149.7923745
Ob_AK_Anchorage,30.9,29.3,32.6,30.1,0.03,61.21211508,-149.9094971
Ob_AK_Anchorage,34.7,33.6,35.8,30.1,0.15,61.20236369,-149.7338013
Ob_AK_Anchorage,33.7,32.5,34.8,30.1,0.12,61.15175738,-149.845314
Ob_AK_Anchorage,37.6,36.6,38.6,30.1,0.25,61.18798692,-149.9055565
Ob_AK_Anchorage,33.7,31.9,35.5,30.1,0.12,61.31037504,-149.5044538
Ob_AK_Anchorage,31.8,29.8,33.6,30.1,0.06,61.10157181,-149.8225014
Ob_AK_Anchorage,37.2,36.1,38.1,30.1,0.24,61.21716167,-149.7671939
Ob_AK_Anchorage,33.2,31.2,35.3,30.1,0.1,61.09481928,-149.782306
Ob_AK_Anchorage,35.8,34.7,37,30.1,0.19,61.34021158,-149.3810924
Ob_AK_Anchorage,33.2,31.7,34.5,30.1,0.1,61.20245784,-149.7631995
Ob_AK_Anchorage,38,37,39,30.1,0.26,61.20438328,-149.8525221
Ob_AK_Anchorage,34.1,32.8,35.4,30.1,0.13,61.16200915,-149.9333894
Ob_AK_Anchorage,36.2,35.2,37,30.1,0.2,61.21675334,-149.7927388
Ob_AK_Anchorage,34.6,33.2,36,30.1,0.15,61.15912229,-149.8715727
Ob_AK_Anchorage,32.6,31.3,33.8,30.1,0.08,61.20324625,-149.8240245
