DbCity,DbMean,DbLowFid,DbHighFid,DbMeanByUS,DbRelByUS,Db_Lat,Db_Log
Db_AK_Anchorage,7.4,6.9,7.8,10.8,-0.31,61.1593945,-149.8998667
Db_AK_Anchorage,8.9,8.3,9.6,10.8,-0.18,61.21770919,-149.8912603
Db_AK_Anchorage,8.2,7.8,8.6,10.8,-0.24,61.23468983,-149.9140348
Db_AK_Anchorage,6.1,5.4,6.8,10.8,-0.44,61.1833398,-149.2186904
Db_AK_Anchorage,7.3,6.7,7.9,10.8,-0.32,61.12144732,-149.6399278
Db_AK_Anchorage,7.2,6.6,7.7,10.8,-0.33,61.1880188,-149.7633967
Db_AK_Anchorage,7.1,6.7,7.6,10.8,-0.34,61.10456585,-149.9802165
Db_AK_Anchorage,7.6,7.1,8,10.8,-0.3,61.34021158,-149.3810924
Db_AK_Anchorage,7.1,6.6,7.6,10.8,-0.34,61.16200915,-149.9333894
Db_AK_Anchorage,7.8,7.4,8.1,10.8,-0.28,61.20309439,-149.7923745
Db_AK_Anchorage,7.2,6.8,7.7,10.8,-0.33,61.18796173,-149.9226473
Db_AK_Anchorage,8.1,7.5,8.6,10.8,-0.25,61.18731311,-149.9527658
Db_AK_Anchorage,7.2,6.5,8,10.8,-0.33,61.21211508,-149.9094971
Db_AK_Anchorage,7,6.6,7.4,10.8,-0.35,61.18978485,-149.8067788
Db_AK_Anchorage,5.3,4.9,5.7,10.8,-0.51,61.33087687,-149.5747474
Db_AK_Anchorage,6.3,5.9,6.7,10.8,-0.42,61.17388151,-149.848209
Db_AK_Anchorage,2.1,2,2.3,10.8,-0.81,61.27402825,-149.8195706
Db_AK_Anchorage,8.5,8.1,8.8,10.8,-0.21,61.17696627,-149.9202508
Db_AK_Anchorage,6.6,5.9,7.3,10.8,-0.39,61.10157181,-149.8225014
Db_AK_Anchorage,7.5,7.1,7.8,10.8,-0.31,61.21751149,-149.7443976
Db_AK_Anchorage,7.1,6.5,7.6,10.8,-0.34,61.0690793,-149.8832548
Db_AK_Anchorage,6.7,6.3,7.1,10.8,-0.38,61.15927395,-149.819469
Db_AK_Anchorage,7.8,7.4,8.2,10.8,-0.28,61.12859062,-149.8901891
Db_AK_Anchorage,8.2,7.9,8.5,10.8,-0.24,61.17531998,-149.8230877
Db_AK_Anchorage,8.5,8.2,8.8,10.8,-0.21,61.21675334,-149.7927388
Db_AK_Anchorage,10.7,10.4,11.1,10.8,-0.01,61.215062,-149.8362795
Db_AK_Anchorage,7.4,6.9,7.9,10.8,-0.31,61.1880643,-149.7336484
Db_AK_Anchorage,6.5,5.9,7,10.8,-0.4,61.32863559,-149.5379819
Db_AK_Anchorage,7.4,6.6,8.3,10.8,-0.31,61.09481928,-149.782306
Db_AK_Anchorage,7.9,7.4,8.3,10.8,-0.27,61.1885502,-149.9376005
Db_AK_Anchorage,6.7,6.3,7.1,10.8,-0.38,61.14611819,-149.9286595
Db_AK_Anchorage,7.3,6.9,7.8,10.8,-0.32,61.20324625,-149.8240245
Db_AK_Anchorage,1.9,1.8,2.1,10.8,-0.82,61.27900739,-149.6598486
Db_AK_Anchorage,7.6,6.8,8.4,10.8,-0.3,61.21161024,-149.9490358
Db_AK_Anchorage,8.4,8,8.9,10.8,-0.22,61.20236369,-149.7338013
Db_AK_Anchorage,6.2,5.8,6.6,10.8,-0.43,61.14474144,-149.8192078
