HBp_City,HBpMean,HBpLowFid,HBpHighFid,HBpMeanByUS,HBpRelByUS,HBp_Lat,HBp_Logit
HBp_AK_Anchorage,32.3,30.7,34,32.4,0,61.21161024,-149.9490358
HBp_AK_Anchorage,28.3,26.8,29.8,32.4,-0.13,61.26340705,-148.8338659
HBp_AK_Anchorage,33.8,32.4,35.1,32.4,0.04,61.1915444,-149.8522724
HBp_AK_Anchorage,27.4,26.7,28.1,32.4,-0.15,61.21716167,-149.7671939
HBp_AK_Anchorage,33,32.4,33.6,32.4,0.02,61.215062,-149.8362795
HBp_AK_Anchorage,24.4,23.2,25.6,32.4,-0.25,60.96117868,-149.073965
HBp_AK_Anchorage,28.1,27.1,28.9,32.4,-0.13,61.12859062,-149.8901891
HBp_AK_Anchorage,26,25.1,26.8,32.4,-0.2,61.15175738,-149.845314
HBp_AK_Anchorage,26.6,24.9,28.3,32.4,-0.18,61.1833398,-149.2186904
HBp_AK_Anchorage,27.4,26.3,28.5,32.4,-0.15,61.16200915,-149.9333894
HBp_AK_Anchorage,31.2,30.3,32,32.4,-0.04,61.18798692,-149.9055565
HBp_AK_Anchorage,25.7,24.8,26.6,32.4,-0.21,61.15927395,-149.819469
HBp_AK_Anchorage,27,26,27.9,32.4,-0.17,61.15912229,-149.8715727
HBp_AK_Anchorage,28.7,27.6,29.6,32.4,-0.11,61.1880643,-149.7336484
HBp_AK_Anchorage,28.5,27.3,29.7,32.4,-0.12,61.12541606,-149.8038154
HBp_AK_Anchorage,27.5,26.8,28.3,32.4,-0.15,61.21751149,-149.7443976
HBp_AK_Anchorage,28,27,29,32.4,-0.14,61.21028649,-149.8759827
HBp_AK_Anchorage,28.7,27.1,30.4,32.4,-0.11,61.05624696,-149.705808
HBp_AK_Anchorage,33.8,33.2,34.4,32.4,0.04,61.22486253,-149.8374649
HBp_AK_Anchorage,27.6,26.6,28.6,32.4,-0.15,61.18796173,-149.9226473
HBp_AK_Anchorage,27.4,26.1,28.7,32.4,-0.15,61.14642123,-150.1503754
HBp_AK_Anchorage,28.9,28,29.8,32.4,-0.11,61.19941484,-149.8914349
HBp_AK_Anchorage,25.9,24.5,27.2,32.4,-0.2,61.31037504,-149.5044538
HBp_AK_Anchorage,29.3,28.1,30.6,32.4,-0.1,61.20245784,-149.7631995
HBp_AK_Anchorage,28.9,28.1,29.8,32.4,-0.11,61.23468983,-149.9140348
HBp_AK_Anchorage,30.1,29.1,31,32.4,-0.07,61.34021158,-149.3810924
HBp_AK_Anchorage,33.6,32.9,34.3,32.4,0.04,61.22337238,-149.7233232
HBp_AK_Anchorage,25.3,24.2,26.4,32.4,-0.22,61.14474144,-149.8192078
HBp_AK_Anchorage,24.5,23.5,25.4,32.4,-0.24,61.17388151,-149.848209
HBp_AK_Anchorage,28.4,27.3,29.4,32.4,-0.12,61.1593945,-149.8998667
HBp_AK_Anchorage,32.3,31,33.6,32.4,0,61.21770919,-149.8912603
HBp_AK_Anchorage,31.5,30.2,33,32.4,-0.03,61.12144732,-149.6399278
HBp_AK_Anchorage,31,29.2,32.9,32.4,-0.04,61.09481928,-149.782306
HBp_AK_Anchorage,29.1,28.1,30,32.4,-0.1,61.1885502,-149.9376005
HBp_AK_Anchorage,28.4,27.3,29.5,32.4,-0.12,61.1880188,-149.7633967
HBp_AK_Anchorage,27.2,25.9,28.4,32.4,-0.16,61.32863559,-149.5379819
HBp_AK_Anchorage,28.7,28.1,29.3,32.4,-0.11,61.17531998,-149.8230877
HBp_AK_Anchorage,23.3,22.2,24.4,32.4,-0.28,61.33087687,-149.5747474
HBp_AK_Anchorage,28.4,27,29.6,32.4,-0.12,61.0690793,-149.8832548
HBp_AK_Anchorage,13.7,12.8,14.6,32.4,-0.58,61.27402825,-149.8195706
HBp_AK_Anchorage,29.1,28,30.1,32.4,-0.1,61.18731311,-149.9527658
HBp_AK_Anchorage,28.9,28.2,29.5,32.4,-0.11,61.21675334,-149.7927388
HBp_AK_Anchorage,30.6,29.8,31.2,32.4,-0.06,61.17696627,-149.9202508
HBp_AK_Anchorage,27.1,26.2,28,32.4,-0.16,61.18978485,-149.8067788
HBp_AK_Anchorage,26,25.1,26.9,32.4,-0.2,61.14611819,-149.9286595
HBp_AK_Anchorage,31.4,29.9,32.8,32.4,-0.03,61.21211508,-149.9094971
HBp_AK_Anchorage,28.4,26.7,29.9,32.4,-0.12,61.10157181,-149.8225014
HBp_AK_Anchorage,25.9,25,26.8,32.4,-0.2,61.13038003,-149.8452258
HBp_AK_Anchorage,13.2,12.4,14,32.4,-0.59,61.27900739,-149.6598486
HBp_AK_Anchorage,29.6,28.8,30.3,32.4,-0.09,61.18391065,-149.8804709
HBp_AK_Anchorage,35.1,34.2,35.9,32.4,0.08,61.20438328,-149.8525221
HBp_AK_Anchorage,28.9,28,29.8,32.4,-0.11,61.10456585,-149.9802165
HBp_AK_Anchorage,31.4,30.4,32.3,32.4,-0.03,61.20236369,-149.7338013
HBp_AK_Anchorage,27.5,26.7,28.3,32.4,-0.15,61.20309439,-149.7923745
HBp_AK_Anchorage,28.4,27.3,29.3,32.4,-0.12,61.20324625,-149.8240245
HBp_AL_Montgomery,38.7,37.1,40.1,32.4,0.19,32.37215195,-86.22845883
HBp_AL_Mobile,46.5,45.3,47.6,32.4,0.44,30.58797455,-88.09021692
HBp_AL_Huntsville,31.3,30.2,32.6,32.4,-0.03,34.79009445,-86.78348313
HBp_AL_Huntsville,33.7,32.8,34.6,32.4,0.04,34.68010749,-86.59529738
HBp_AL_Birmingham,52.2,51.3,53.1,32.4,0.61,33.52787677,-86.86041617
HBp_AL_Mobile,47.6,46.5,48.6,32.4,0.47,30.70029009,-88.21926191
HBp_AL_Montgomery,34,33,35.1,32.4,0.05,32.38174568,-86.28182427
HBp_AL_Huntsville,28.2,27.1,29.3,32.4,-0.13,34.73982021,-86.7028565
HBp_AL_Tuscaloosa,29.7,28.5,31,32.4,-0.08,33.18876593,-87.54239145
HBp_AL_Montgomery,54.2,52.9,55.6,32.4,0.67,32.31768026,-86.30554599
HBp_AL_Huntsville,0,0,0,32.4,-1,34.75495602,-86.72281977
HBp_AL_Tuscaloosa,37.8,36.6,39,32.4,0.17,33.20916996,-87.46638059
HBp_AL_Huntsville,51.3,50,52.4,32.4,0.58,34.73384468,-86.60540155
HBp_AL_Birmingham,56,54.5,57.3,32.4,0.73,33.46986914,-86.8742906
HBp_AL_Montgomery,20.8,19.8,21.7,32.4,-0.36,32.40676931,-86.24670208
HBp_AL_Mobile,56.8,55.5,58.1,32.4,0.75,30.70728678,-88.1107455
HBp_AL_Mobile,33,31.9,34,32.4,0.02,30.68277338,-88.18063037
HBp_AL_Hoover,28.5,27.3,29.8,32.4,-0.12,33.33917835,-86.88884607
HBp_AL_Hoover,32.2,30.9,33.5,32.4,-0.01,33.40268739,-86.77094507
HBp_AL_Huntsville,0,0,0,32.4,-1,34.7976427,-86.67756808
HBp_AL_Huntsville,50.8,49.3,52,32.4,0.57,34.77415538,-86.54954934
HBp_AL_Huntsville,28.3,27.1,29.3,32.4,-0.13,34.77870377,-86.795488
HBp_AL_Mobile,58.4,56.9,59.7,32.4,0.8,30.7055497,-88.0663775
HBp_AL_Birmingham,56.8,55.4,58.1,32.4,0.75,33.43964436,-86.92487687
HBp_AL_Birmingham,37.5,36.6,38.3,32.4,0.16,33.51251581,-86.85771649
HBp_AL_Birmingham,54.4,53.1,55.5,32.4,0.68,33.52916049,-86.93464764
HBp_AL_Mobile,49.9,48.9,50.8,32.4,0.54,30.65009859,-88.10009894
HBp_AL_Birmingham,45.5,44.2,46.9,32.4,0.4,33.5065714,-86.91959101
HBp_AL_Birmingham,53.1,51.8,54.4,32.4,0.64,33.50522292,-86.90148447
HBp_AL_Huntsville,39.7,38.7,40.6,32.4,0.23,34.69080318,-86.6186518
HBp_AL_Montgomery,36.2,34.9,37.4,32.4,0.12,32.35762535,-86.20225165
HBp_AL_Montgomery,44.9,44,45.8,32.4,0.39,32.35133055,-86.30727085
HBp_AL_Tuscaloosa,41.2,39.7,42.6,32.4,0.27,33.2137806,-87.44423234
HBp_AL_Birmingham,43,41.6,44.3,32.4,0.33,33.57664564,-86.69655903
HBp_AL_Hoover,32.9,31.7,34.1,32.4,0.02,33.30458726,-86.88724127
HBp_AL_Huntsville,50.9,49.5,52.2,32.4,0.57,34.78232821,-86.607736
HBp_AL_Birmingham,24.9,23.4,26.4,32.4,-0.23,33.47388616,-86.81464878
HBp_AL_Huntsville,40.4,38.8,42.1,32.4,0.25,34.65904905,-86.54783685
HBp_AL_Mobile,41,39.6,42.5,32.4,0.27,30.64346087,-88.14379685
HBp_AL_Montgomery,26.8,25.5,28.1,32.4,-0.17,32.31045491,-86.15495233
HBp_AL_Birmingham,30.1,28.9,31.1,32.4,-0.07,33.55428164,-87.05446914
HBp_AL_Montgomery,42.7,41.2,44,32.4,0.32,32.41695213,-86.2694458
HBp_AL_Mobile,55.9,54.3,57.3,32.4,0.73,30.70590955,-88.09232502
HBp_AL_Hoover,34.6,33.2,36.1,32.4,0.07,33.40194561,-86.83334933
HBp_AL_Birmingham,52.2,50.7,53.5,32.4,0.61,33.48594521,-86.86969219
HBp_AL_Huntsville,32,30.5,33.6,32.4,-0.01,34.71193467,-86.58260696
HBp_AL_Birmingham,48.8,47.6,49.9,32.4,0.51,33.55213012,-86.72767595
