Hd_City,HdMean,HdLowFid,HdHighFid,HdMeanByUS,HdRelByUS,Hd_Lat,Hd_Log
AKAnchorage,4.2,4.2,4.2,6.4,-0.34,61.1593945,-149.8998667
AKAnchorage,4.7,4.5,5,6.4,-0.27,61.17531998,-149.8230877
AKAnchorage,5.8,5.2,6.4,6.4,-0.09,61.1915444,-149.8522724
AKAnchorage,4.4,4.1,4.8,6.4,-0.31,61.23468983,-149.9140348
AKAnchorage,4,3.6,4.4,6.4,-0.38,61.1880188,-149.7633967
AKAnchorage,3.5,3.1,4,6.4,-0.45,61.1833398,-149.2186904
AKAnchorage,5.5,4.9,6.1,6.4,-0.14,61.21770919,-149.8912603
AKAnchorage,4.1,3.7,4.5,6.4,-0.36,61.16200915,-149.9333894
AKAnchorage,4.9,4.6,5.3,6.4,-0.23,61.34021158,-149.3810924
AKAnchorage,4.7,4.2,5.2,6.4,-0.27,61.12144732,-149.6399278
AKAnchorage,3.9,3.7,4.2,6.4,-0.39,61.20309439,-149.7923745
AKAnchorage,4.1,3.7,4.4,6.4,-0.36,61.18796173,-149.9226473
AKAnchorage,3.3,2.9,3.7,6.4,-0.48,60.96117868,-149.073965
AKAnchorage,3.4,3.2,3.7,6.4,-0.47,61.17388151,-149.848209
AKAnchorage,5.2,4.6,5.9,6.4,-0.19,61.21211508,-149.9094971
AKAnchorage,4.2,3.8,4.5,6.4,-0.34,61.18978485,-149.8067788
AKAnchorage,3.9,3.4,4.4,6.4,-0.39,61.10157181,-149.8225014
AKAnchorage,0.9,0.9,1,6.4,-0.86,61.27900739,-149.6598486
AKAnchorage,4.2,3.9,4.6,6.4,-0.34,61.10456585,-149.9802165
AKAnchorage,1,0.9,1.1,6.4,-0.84,61.27402825,-149.8195706
AKAnchorage,5.1,4.8,5.4,6.4,-0.20,61.17696627,-149.9202508
AKAnchorage,3.6,3.3,3.9,6.4,-0.44,61.14611819,-149.9286595
AKAnchorage,4.2,3.9,4.5,6.4,-0.34,61.12859062,-149.8901891
AKAnchorage,3.1,2.8,3.4,6.4,-0.52,61.33087687,-149.5747474
AKAnchorage,4,3.8,4.3,6.4,-0.38,61.21751149,-149.7443976
AKAnchorage,3.4,3.1,3.7,6.4,-0.47,61.15927395,-149.819469
AKAnchorage,4.4,4,4.8,6.4,-0.31,61.18731311,-149.9527658
AKAnchorage,5.8,5.6,6.1,6.4,-0.09,61.215062,-149.8362795
AKAnchorage,4.3,4.1,4.6,6.4,-0.33,61.21675334,-149.7927388
AKAnchorage,5.1,4.5,5.8,6.4,-0.20,61.21161024,-149.9490358
AKAnchorage,4,3.7,4.2,6.4,-0.38,61.21716167,-149.7671939
AKAnchorage,4.5,4.2,4.9,6.4,-0.30,61.1885502,-149.9376005
AKAnchorage,4,3.5,4.4,6.4,-0.38,61.32863559,-149.5379819
AKAnchorage,3.7,3.4,3.9,6.4,-0.42,61.15175738,-149.845314
AKAnchorage,4.1,3.8,4.5,6.4,-0.36,61.1880643,-149.7336484
AKAnchorage,4.2,3.9,4.6,6.4,-0.34,61.20324625,-149.8240245
