StkCity,StkMean,StkLowFid,StkHighFid,StkMeanByUS,StkRelByUS,Stk_Lat,Stk_Log
Stk_AK_Anchorage,3.50,3.30,3.60,3.2,0.10,61.215062,-149.8362795
Stk_AK_Anchorage,2.70,2.50,2.80,3.2,-0.17,61.17696627,-149.9202508
Stk_AK_Anchorage,2.20,2.00,2.40,3.2,-0.33,61.1880188,-149.7633967
Stk_AK_Anchorage,3.00,2.80,3.20,3.2,-0.07,61.18798692,-149.9055565
Stk_AK_Anchorage,2.40,2.20,2.60,3.2,-0.27,61.23468983,-149.9140348
Stk_AK_Anchorage,2.50,2.30,2.70,3.2,-0.23,61.19941484,-149.8914349
Stk_AK_Anchorage,2.30,2.10,2.50,3.2,-0.30,61.1880643,-149.7336484
Stk_AK_Anchorage,1.80,1.60,2.00,3.2,-0.47,61.31037504,-149.5044538
Stk_AK_Anchorage,2.30,2.20,2.50,3.2,-0.30,61.12859062,-149.8901891
Stk_AK_Anchorage,2.30,2.00,2.70,3.2,-0.30,61.09481928,-149.782306
Stk_AK_Anchorage,2.10,1.90,2.40,3.2,-0.37,61.26340705,-148.8338659
Stk_AK_Anchorage,2.00,1.80,2.20,3.2,-0.40,61.14642123,-150.1503754
Stk_AK_Anchorage,2.30,2.10,2.60,3.2,-0.30,61.20245784,-149.7631995
Stk_AK_Anchorage,2.30,2.20,2.50,3.2,-0.30,61.20309439,-149.7923745
Stk_AK_Anchorage,3.50,3.30,3.70,3.2,0.10,61.22486253,-149.8374649
Stk_AK_Anchorage,2.90,2.60,3.20,3.2,-0.10,61.21770919,-149.8912603
Stk_AK_Anchorage,2.20,2.00,2.40,3.2,-0.33,61.10456585,-149.9802165
Stk_AK_Anchorage,2.70,2.50,2.90,3.2,-0.17,61.18391065,-149.8804709
Stk_AK_Anchorage,1.90,1.60,2.20,3.2,-0.43,61.1833398,-149.2186904
Stk_AK_Anchorage,2.20,2.00,2.50,3.2,-0.33,61.12144732,-149.6399278
Stk_AK_Anchorage,2.30,2.10,2.50,3.2,-0.30,61.1593945,-149.8998667
Stk_AK_Anchorage,2.90,2.60,3.30,3.2,-0.10,61.1915444,-149.8522724
Stk_AK_Anchorage,2.40,2.20,2.60,3.2,-0.27,61.1885502,-149.9376005
Stk_AK_Anchorage,2.00,1.70,2.30,3.2,-0.40,61.05624696,-149.705808
Stk_AK_Anchorage,2.20,2.00,2.40,3.2,-0.33,61.16200915,-149.9333894
Stk_AK_Anchorage,2.30,2.10,2.50,3.2,-0.30,61.21716167,-149.7671939
