HD_M_Value,HBP_M_Value,HC_M_Value,OB_M_Value,DB_M_Value,Target_Value
4.2,32.3,34.1,30.3,12.2,3.4
4.7,28.3,21.8,30.6,10.8,9.2
5.8,33.8,36.7,17.3,9.9,3.1
4.4,27.4,27.1,22.1,14.7,2
4,33,35,25.7,8.1,7
3.5,24.4,27.5,25.3,11.4,2.6
5.5,28.1,33.7,22.5,3.4,2.9
4.1,26,32.6,22.8,9.7,2.6
4.9,26.6,31.4,14.1,23.1,2.7
4.7,27.4,33.2,28.6,9.2,2.5
3.9,31.2,30.2,29.3,12.2,4
4.1,25.7,37.7,36,11.4,3.7
3.3,27,20.9,32.9,8.4,3.7
3.4,28.7,28.3,19.9,13.5,1.6
5.2,28.5,28.9,35.9,11.5,1.5
4.2,27.5,28.6,25.2,16.9,2.8
3.9,28,30.7,20.5,6,2.4
0.9,28.7,32.9,20.1,12.7,2
4.2,33.8,33.3,37.9,10.7,1.8
1,27.6,37.1,14.7,12.6,2.3
5.1,27.4,34.1,12.7,15.6,3.1
3.6,28.9,38.4,14.7,11.9,5.5
4.2,25.9,37.1,25.9,12.2,1.8
3.1,29.3,23,33,15.6,4.4
4,28.9,28.4,19.3,11.6,2.7
3.4,30.1,11.4,18.5,8.8,3.3
4.4,33.6,41.4,45.3,10,1.9
5.8,25.3,31,21.5,17.3,5.4
4.3,24.5,22.9,32.4,12.4,6.8
5.1,28.4,37.4,33.7,7,2.4
4,32.3,34.6,33.1,11.4,2.6
4.5,31.5,27.5,30.1,13.9,2.5
4,31,36.3,31.6,1.5,2.9
3.7,29.1,35.1,44.4,8.6,1.8
4.1,28.4,30,43.1,12.8,6.7
4.2,27.2,28.7,27.6,15.1,1.3
4.2,28.7,38.2,43.4,6.1,2.7
4.6,23.3,32.6,27.7,12.1,1.6
6.1,28.4,19.1,27.1,24.5,2.9
5.1,13.7,35.5,28,17.9,3.7
3.6,29.1,30.7,29.6,14.9,2.1
6.4,28.9,20.8,46.6,10.7,3.3
4.8,30.6,32.3,39.2,21.2,1.6
3.2,27.1,35.7,26,13.2,1.9
3.4,26,29.4,42.6,10.6,3.4
6,31.4,26.8,47.5,18.4,3.6
4.4,28.4,34.7,21.1,13.7,3.7
3.9,25.9,30.8,40.9,11.1,1.8
4.5,13.2,33,21.3,13.2,3
5.3,29.6,43.7,21.2,11.1,3.4
4.3,35.1,33.7,23,11.5,2.9
4,28.9,33.9,50,13.1,3.4
4,31.4,31.9,28.6,11.4,3.3
3.8,27.5,32.6,30.9,12.9,2.8
4,28.4,32.1,49.9,24,2.1
7.3,38.7,35.7,33.1,15.4,2.2
8.4,46.5,33.6,18.2,9.3,2.3
6.7,31.3,25.6,30.9,18.6,7.9
3.9,33.7,27.7,20.7,18.8,1.8
6.1,52.2,26.2,32.7,25.3,2.5
