DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
7.4,36.3,4.2,32.3,32.3,16,4.8,10.6,3.5
8.9,33.5,4.7,33,28.3,13.8,4.4,8,2.7
8.2,39,5.8,31.9,33.8,11.8,5.1,8.2,2.2
6.1,33.4,4.4,29.3,27.4,16.9,4.1,9.2,3
7.3,33.2,4,31.4,33,24.1,4.6,9.5,2.4
7.2,30,3.5,30.9,24.4,19.6,4.3,9.5,2.5
7.1,32.1,5.5,32.8,28.1,26.9,4.5,8.5,2.3
7.6,33.6,4.1,31.4,26,17.2,4.8,8.5,1.8
7.1,35.5,4.9,31,26.6,15.6,3.8,9.8,2.3
7.8,33,4.7,31.9,27.4,20.9,2,9.5,2.3
7.2,29.5,3.9,33.7,31.2,14.6,3.9,9.2,2.1
8.1,31.8,4.1,31.6,25.7,12.9,3.8,8.9,2
7.2,36,3.3,35.2,27,20.5,6.8,9.6,2.3
7,33.2,3.4,29.1,28.7,18.5,4.8,8,2.3
5.3,32.5,5.2,32.6,28.5,18.7,4.7,9.2,3.5
6.3,34.4,4.2,32.3,27.5,17.2,4.1,8.8,2.9
2.1,33,3.9,36,28,11.3,4.2,8.7,2.2
8.5,32.5,0.9,30.1,28.7,19,4.7,9.7,2.7
6.6,32.7,4.2,31.1,33.8,14.6,2,8.3,1.9
7.5,37.8,1,36.2,27.6,17.7,4.6,9.8,2.2
7.1,33.9,5.1,32.8,27.4,16,4.4,9.1,2.3
6.7,36.1,3.6,31.4,28.9,15,4.5,8.1,2.9
7.8,35.7,4.2,33.6,25.9,19.2,5.2,9,2.4
8.2,35.4,3.1,31.8,29.3,21.7,4.1,9.7,2
8.5,31.8,4,33.7,28.9,19.8,5.7,8.7,2.2
10.7,42.9,3.4,30.3,30.1,15.4,4.3,9,2.3
7.4,34.8,4.4,33.1,33.6,28.7,3.5,8.9,2
6.5,31.2,5.8,28.8,25.3,20.8,4.6,8.9,2.5
7.4,34.9,4.3,30.8,24.5,17.9,5.3,8.7,2.4
7.9,32.3,5.1,32.8,28.4,18.4,4.2,8.9,2.1
6.7,36.5,4,31.4,32.3,20.7,4.9,9.7,2.1
7.3,30.9,4.5,36.2,31.5,12.2,4.1,8.9,1.7
1.9,34.7,4,28.8,31,18,4.6,9,2.2
7.6,33.7,3.7,31.2,29.1,18.1,6,10.6,2.3
8.4,37.6,4.1,32.1,28.4,19.8,4.1,9,0.7
6.2,33.7,4.2,32.5,27.2,14.3,3.8,9.3,2.2
7,31.8,4.2,13.8,28.7,15.8,4.1,8,1.7
11,37.2,4.6,32.9,23.3,23.8,4.8,9.1,2.8
10.6,33.2,6.1,30.8,28.4,19.7,4.2,8.4,2.4
7.4,35.8,5.1,29.4,13.7,16.5,3.8,9.1,2.6
7,33.2,3.6,27.1,29.1,18.2,4.5,8.9,3.5
8.9,38,6.4,29.8,28.9,20.1,3.8,9.2,2.2
5.3,34.1,4.8,30,30.6,19,4.5,9.2,2.2
11.6,36.2,3.2,35.4,27.1,13.9,5.2,10.3,2.1
8.1,34.6,3.4,34.6,26,18.1,6.7,9.4,1.9
8.9,32.6,6,29.3,31.4,11.5,5.2,8.2,2.5
5.9,42.3,4.4,29.3,28.4,18.9,3.6,8.8,2
6.7,33.4,3.9,30.8,25.9,15.6,4.2,8.4,2.4
7.1,33.8,4.5,15.2,13.2,18,6.6,8.7,1.9
7.7,33.6,5.3,30.3,29.6,17.4,5.1,8,0.7
7.5,32.2,4.3,29,35.1,18,4.5,9.4,1.8
6.7,35.1,4,27.9,28.9,20.1,4.3,9.1,2.1
6.7,33.5,4,33.1,31.4,18.2,4.4,10,2.5
9.8,31.2,3.8,29,27.5,21,4.3,9,2.3
6.6,33.8,4,31.3,28.4,17.1,6.3,9.2,3.6
9.3,30.3,7.3,37.4,38.7,15,5.2,13.1,3.4
9.7,49.9,8.4,34.6,46.5,16.1,5.1,17,3.3
20.2,30.8,6.7,27.5,31.3,25.5,7.8,13.5,2.8
13.5,54.2,3.9,36.3,33.7,29.3,9,10.3,2.1
13.1,30.4,6.1,35.1,52.2,32.3,10.1,13.7,2.2
5.4,36.1,7.5,30,47.6,14.7,12.6,9.3,2.3
10.81,52.7,5.6,38.2,34,27.4,11.5,9.7,7.9
10.81,42.9,6,19.1,28.2,13.8,6.1,9.74,2.5
10.81,30.47,6.7,35.5,29.7,17.97,5.3,10.6,2.4
19.3,39.8,5.7,20.8,54.2,25.2,6.9,11.1,1.9
6.8,45.8,6.6,35.7,29.3,25.5,5.7,11.9,2.6
15.1,35.4,8.7,29.4,37.8,17.97,17.6,9.7,0.4
8.6,30.8,7.2,26.8,51.3,15.3,11.5,9.74,2.1
22,41.1,7.9,34.7,56,29,8.1,13.3,6.8
4.2,42.7,11.4,43.7,20.8,20.2,13.8,10.7,2.4
23.2,27.5,5,33.7,56.8,24.3,14,12.8,2.7
13.8,40.4,8.4,33.9,33,16.6,11.3,12.9,4.3
27.6,48.1,4.3,32.6,28.5,18.4,11.3,13.2,2
12.7,43.5,6.2,32.1,32.2,22.3,9.2,11.6,5.3
15.6,28.1,4.5,35.7,29.3,26.4,4.8,9.4,5.3
13.8,29.2,6.9,33.6,50.8,20.9,6.3,11.3,2.9
20.6,47.8,2.7,25.6,28.3,26.6,7.5,11.9,5.1
26,30.1,9.7,26.2,58.4,26.9,6.4,13.5,6.3
8.4,41.8,8.9,33.4,56.8,22.9,4.7,11.4,2.3
14.8,33.3,5.1,33.3,37.5,19.4,7.2,11.6,4.6
16.1,30.47,7.9,21.4,54.4,26.3,13.9,13.1,2.9
18.4,49.3,5.4,36.8,49.9,27.3,6.2,9.8,7.1
9.4,45.2,9.9,39.1,45.5,22.9,4.9,11.3,6.6
9.3,29,5.7,38.4,53.1,20.3,2.5,14.1,3.4
10,42,4.6,35.3,39.7,20.2,6.4,12,1
21.8,30.47,4.3,36,36.2,23.9,11.9,10.8,4.6
18.7,43.2,11.1,37.2,44.9,17.9,5.3,11.9,4.4
10.81,47.1,9.8,35.7,41.2,25.1,8.9,9.7,1.7
7.6,43.2,5.6,37.8,43,15.2,8.4,9.7,7.3
7.5,30.5,7.2,37.8,32.9,11.3,9.5,8.9,4.2
10.7,46.2,9,34.2,50.9,32.6,4.7,12.9,3.1
9.5,29.9,7.2,37.9,24.9,20.5,11.8,11.8,1.4
8.3,42.9,5.2,39.6,40.4,25.5,6.9,9.6,4.7
16.6,46.8,7.5,13.1,41,18,5.5,13.9,3.7
8.5,33.6,10,35.8,26.8,21.1,6.3,13.1,6.2
9.3,29.3,7.4,41.4,30.1,17.97,9.2,12.3,3.2
18.8,30.6,5.3,31.67,42.7,27.4,3.4,10.9,3.21
