DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke,POP,City,LAT,LONG
7.4,36.3,4.2,32.3,32.3,16,4.8,10.6,3.5,"4,993",AK,61.1593945,-149.8998667
8.9,33.5,4.7,33,28.3,13.8,4.4,8,2.7,"5,537",AK,61.17531998,-149.8230877
8.2,39,5.8,31.9,33.8,11.8,5.1,8.2,2.2,"5,104",AK,61.1915444,-149.8522724
6.1,33.4,4.4,29.3,27.4,16.9,4.1,9.2,3,"1,988",AK,61.23468983,-149.9140348
7.3,33.2,4,31.4,33,24.1,4.6,9.5,2.4,"6,843",AK,61.1880188,-149.7633967
7.2,30,3.5,30.9,24.4,19.6,4.3,9.5,2.5,"3,381",AK,61.1833398,-149.2186904
7.1,32.1,5.5,32.8,28.1,26.9,4.5,8.5,2.3,940,AK,61.21770919,-149.8912603
7.6,33.6,4.1,31.4,26,17.2,4.8,8.5,1.8,"4,791",AK,61.16200915,-149.9333894
7.1,35.5,4.9,31,26.6,15.6,3.8,9.8,2.3,"5,259",AK,61.34021158,-149.3810924
7.8,33,4.7,31.9,27.4,20.9,2,9.5,2.3,"4,579",AK,61.12144732,-149.6399278
7.2,29.5,3.9,33.7,31.2,14.6,3.9,9.2,2.1,"4,407",AK,61.20309439,-149.7923745
8.1,31.8,4.1,31.6,25.7,12.9,3.8,8.9,2,"3,787",AK,61.18796173,-149.9226473
7.2,36,3.3,35.2,27,20.5,6.8,9.6,2.3,"2,570",AK,60.96117868,-149.073965
7,33.2,3.4,29.1,28.7,18.5,4.8,8,2.3,"4,907",AK,61.173881514' ',149.848209
5.3,32.5,5.2,32.6,28.5,18.7,4.7,9.2,3.5,"3,718",AK,61.21211508,-149.9094971
6.3,34.4,4.2,32.3,27.5,17.2,4.1,8.8,2.9,"4,224",AK,61.18978485,-149.8067788
2.1,33,3.9,36,28,11.3,4.2,8.7,2.2,"5,050",AK,61.10157181,-149.8225014
8.5,32.5,0.9,30.1,28.7,19,4.7,9.7,2.7,"8,000",AK,61.27900739,-149.6598486
