,AZ_City,AZ_PopByMM,AZ_DeathPer100k
3,AZ Tempe,2225,7.0
4,AZ Yuma,93064,11.1
86,AZ Gilbert,5113,7.0
91,AZ Chandler,1531,14.2
94,AZ Gilbert,1918,6.9
98,AZ Gilbert,5478,5.0
99,AZ Gilbert,4237,6.5
105,AZ Gilbert,4328,6.4
107,AZ Gilbert,2917,6.5
109,AZ Gilbert,5437,4.0
114,AZ Avondale,4444,8.0
117,AZ Chandler,6568,7.8
127,AZ Chandler,5448,8.5
128,AZ Chandler,4159,7.1
132,AZ Gilbert,2624,8.1
135,AZ Chandler,5314,7.7
137,AZ Chandler,5771,6.1
150,AZ Chandler,5839,7.5
151,AZ Avondale,1215,5.6
155,AZ Chandler,2055,5.4
157,AZ Avondale,5995,6.7
166,AZ Chandler,5874,5.4
171,AZ Chandler,2384,5.8
176,AZ Chandler,5636,6.8
177,AZ Chandler,4661,7.0
179,AZ Chandler,4400,7.0
187,AZ Chandler,6092,5.9
189,AZ Chandler,5832,11.9
191,AZ Avondale,4138,6.7
193,AZ Chandler,2593,5.6
197,AZ Chandler,2786,5.2
206,AZ Gilbert,5143,4.5
207,AZ Gilbert,5346,6.3
216,AZ Gilbert,4228,6.2
217,AZ Avondale,5505,13.9
231,AZ Chandler,6459,6.2
240,AZ Gilbert,4040,6.8
241,AZ Gilbert,208453,6.2
246,AZ Chandler,3045,6.5
247,AZ Avondale,2395,12.7
251,AZ Gilbert,3213,6.8
254,AZ Avondale,1753,6.3
257,AZ Gilbert,6458,5.6
259,AZ Chandler,3412,5.9
267,AZ Gilbert,5072,6.7
274,AZ Gilbert,4055,5.9
275,AZ Chandler,2500,6.8
276,AZ Chandler,2839,6.8
280,AZ Chandler,6520,7.1
281,AZ Gilbert,7386,5.4
283,AZ Avondale,76238,8.9
284,AZ Chandler,1671,9.0
286,AZ Chandler,5327,9.8
290,AZ Avondale,4819,6.4
300,AZ Gilbert,4213,5.6
303,AZ Gilbert,3307,7.1
311,AZ Gilbert,4423,5.2
316,AZ Chandler,236123,7.3
317,AZ Gilbert,5133,4.9
325,AZ Gilbert,7264,5.1
337,AZ Gilbert,4812,5.4
340,AZ Chandler,2776,6.2
344,AZ Gilbert,3261,6.3
347,AZ Gilbert,3807,6.0
354,AZ Chandler,5168,6.2
355,AZ Gilbert,4275,7.0
360,AZ Chandler,6229,5.4
364,AZ Chandler,4410,7.3
369,AZ Avondale,2378,7.9
373,AZ Avondale,2391,8.6
377,AZ Chandler,75,8.8
387,AZ Chandler,99,6.0
392,AZ Chandler,4509,6.0
396,AZ Avondale,416,10.5
402,AZ Chandler,2429,4.3
403,AZ Gilbert,208453,7.2
407,AZ Chandler,3095,7.2
408,AZ Chandler,2963,6.4
416,AZ Phoenix,2663,18.7
417,AZ Phoenix,4304,10.8
418,AZ Phoenix,4999,12.4
419,AZ Glendale,4870,10.4
420,AZ Mesa,2510,15.8
421,AZ Phoenix,4098,10.7
422,AZ Phoenix,5058,12.2
423,AZ Phoenix,4416,13.8
424,AZ Phoenix,3619,8.7
425,AZ Phoenix,1410,6.6
426,AZ Phoenix,5678,11.4
427,AZ Peoria,3439,9.4
428,AZ Mesa,3423,9.6
429,AZ Phoenix,3701,8.3
430,AZ Phoenix,6612,14.5
431,AZ Mesa,2987,12.6
432,AZ Phoenix,3426,10.0
433,AZ Peoria,2259,14.2
434,AZ Phoenix,4760,8.4
435,AZ Glendale,4362,6.5
437,AZ Phoenix,5092,8.5
438,AZ Phoenix,4448,11.0
439,AZ Phoenix,4245,7.6
441,AZ Mesa,4903,6.9
442,AZ Phoenix,6174,8.2
443,AZ Phoenix,3567,9.1
444,AZ Phoenix,1213,11.1
445,AZ Phoenix,6540,6.4
446,AZ Phoenix,4854,6.3
447,AZ Mesa,1368,8.3
448,AZ Phoenix,3056,8.6
449,AZ Phoenix,3699,9.0
450,AZ Glendale,2535,5.6
451,AZ Phoenix,3495,6.3
452,AZ Mesa,4075,6.9
453,AZ Phoenix,4198,14.9
454,AZ Phoenix,1547,7.1
456,AZ Phoenix,2538,7.0
457,AZ Mesa,777,8.1
458,AZ Peoria,1843,10.3
459,AZ Phoenix,3833,9.9
460,AZ Glendale,4026,8.9
461,AZ Mesa,6086,7.4
462,AZ Phoenix,4867,11.4
463,AZ Phoenix,5639,5.3
464,AZ Mesa,547,8.6
465,AZ Peoria,6106,8.4
466,AZ Phoenix,5121,8.4
467,AZ Mesa,5624,9.2
468,AZ Mesa,1081,8.3
469,AZ Mesa,3556,12.1
470,AZ Glendale,2876,10.0
471,AZ Mesa,3764,8.9
472,AZ Phoenix,3963,12.3
473,AZ Phoenix,6524,11.3
474,AZ Peoria,2056,7.5
475,AZ Phoenix,1721,8.0
476,AZ Glendale,2991,7.5
477,AZ Mesa,2626,15.6
478,AZ Phoenix,2994,6.7
479,AZ Phoenix,2250,7.8
480,AZ Phoenix,5107,8.9
481,AZ Phoenix,4453,8.1
482,AZ Phoenix,3009,15.4
483,AZ Mesa,4174,11.1
484,AZ Phoenix,5284,7.8
485,AZ Phoenix,2899,8.0
486,AZ Phoenix,5156,9.0
488,AZ Mesa,2455,7.1
489,AZ Phoenix,3209,9.4
490,AZ Glendale,5242,12.5
491,AZ Phoenix,1878,7.9
492,AZ Phoenix,3765,11.9
493,AZ Glendale,3177,15.0
494,AZ Mesa,6128,6.0
495,AZ Peoria,3759,6.1
496,AZ Mesa,1110,13.9
497,AZ Phoenix,5124,8.1
498,AZ Phoenix,283,8.3
499,AZ Phoenix,4376,7.9
500,AZ Phoenix,5197,12.3
501,AZ Phoenix,3603,8.7
502,AZ Phoenix,6427,12.9
503,AZ Mesa,4352,6.4
504,AZ Phoenix,5447,8.3
505,AZ Phoenix,4003,8.0
506,AZ Mesa,2224,8.0
507,AZ Phoenix,1539,14.7
508,AZ Glendale,5722,6.5
509,AZ Mesa,222,9.6
510,AZ Phoenix,5282,10.0
511,AZ Phoenix,5074,8.2
512,AZ Phoenix,6725,9.1
513,AZ Phoenix,5386,5.0
514,AZ Peoria,252,18.3
515,AZ Phoenix,5924,8.7
516,AZ Phoenix,4253,10.4
517,AZ Phoenix,3852,7.6
518,AZ Mesa,2709,9.5
519,AZ Phoenix,1819,8.5
520,AZ Phoenix,5033,10.4
521,AZ Phoenix,2600,6.9
522,AZ Glendale,3118,1.9
523,AZ Phoenix,6567,8.7
524,AZ Phoenix,8369,10.8
525,AZ Phoenix,8290,14.5
526,AZ Phoenix,4275,6.2
527,AZ Peoria,152,7.7
528,AZ Mesa,391,20.7
529,AZ Phoenix,2982,8.6
530,AZ Phoenix,4745,7.6
531,AZ Phoenix,4773,6.9
532,AZ Phoenix,2075,7.5
533,AZ Phoenix,4262,14.4
534,AZ Phoenix,2652,8.7
535,AZ Mesa,3326,10.0
536,AZ Peoria,3271,6.1
537,AZ Mesa,4647,10.9
538,AZ Phoenix,3596,11.3
539,AZ Phoenix,6572,10.8
540,AZ Phoenix,4305,15.0
541,AZ Mesa,4280,9.6
542,AZ Phoenix,5967,8.9
543,AZ Peoria,3922,9.3
544,AZ Phoenix,2154,4.7
545,AZ Mesa,4734,10.2
546,AZ Phoenix,4417,8.0
547,AZ Phoenix,684,13.6
548,AZ Phoenix,5558,14.6
549,AZ Phoenix,2808,9.1
550,AZ Phoenix,4546,11.7
551,AZ Mesa,3688,6.7
552,AZ Peoria,5816,9.7
553,AZ Phoenix,4933,7.3
554,AZ Phoenix,5990,6.8
555,AZ Phoenix,7080,13.3
557,AZ Phoenix,2877,9.1
558,AZ Mesa,1753,17.1
559,AZ Phoenix,2232,14.9
560,AZ Glendale,2647,10.2
561,AZ Phoenix,5701,7.2
562,AZ Phoenix,5277,7.5
563,AZ Mesa,4648,7.6
564,AZ Phoenix,1372,15.1
565,AZ Mesa,3724,14.9
566,AZ Phoenix,3849,9.0
567,AZ Phoenix,5688,8.0
568,AZ Phoenix,7839,12.9
569,AZ Phoenix,4077,10.5
570,AZ Glendale,5847,11.6
572,AZ Phoenix,2342,8.2
573,AZ Phoenix,4656,6.7
574,AZ Phoenix,3171,6.3
575,AZ Phoenix,5595,7.7
576,AZ Phoenix,3092,10.9
577,AZ Phoenix,1793,6.0
578,AZ Phoenix,3467,6.6
579,AZ Mesa,2358,9.0
580,AZ Phoenix,5474,11.6
581,AZ Glendale,2752,7.0
582,AZ Mesa,2143,7.4
583,AZ Peoria,2817,14.1
584,AZ Phoenix,3775,9.9
585,AZ Mesa,6333,7.5
586,AZ Phoenix,5280,7.8
587,AZ Mesa,7730,5.5
588,AZ Mesa,4354,13.6
590,AZ Phoenix,4700,8.2
591,AZ Mesa,3430,9.4
592,AZ Mesa,2415,12.7
593,AZ Phoenix,2029,9.5
594,AZ Mesa,439041,9.4
595,AZ Glendale,5864,9.4
596,AZ Phoenix,3285,16.7
597,AZ Mesa,3569,7.3
598,AZ Glendale,3908,10.7
599,AZ Mesa,4139,7.5
600,AZ Phoenix,6118,14.2
601,AZ Glendale,2613,9.2
602,AZ Peoria,5917,7.2
603,AZ Phoenix,4299,7.7
604,AZ Phoenix,1912,7.6
605,AZ Phoenix,3400,15.5
608,AZ Tucson,4761,5.1
610,AZ Tucson,3430,10.2
612,AZ Surprise,7445,6.3
614,AZ Tucson,4912,9.0
615,AZ Tucson,3723,14.5
617,AZ Scottsdale,3556,6.7
619,AZ Tucson,3698,7.4
620,AZ Scottsdale,4939,8.7
622,AZ Tucson,2039,5.7
623,AZ Yuma,4049,15.6
627,AZ Scottsdale,5351,7.6
628,AZ Tucson,5980,16.7
631,AZ Tempe,1483,5.8
633,AZ Tucson,3791,13.8
635,AZ Tucson,2701,15.1
637,AZ Tucson,6023,10.3
638,AZ Scottsdale,3953,10.5
641,AZ Yuma,93064,11.4
642,AZ Surprise,117517,9.3
645,AZ Tucson,5072,12.7
646,AZ Tucson,4325,8.6
647,AZ Tucson,367,6.0
648,AZ Tucson,2340,7.1
654,AZ Tempe,2558,4.4
655,AZ Tucson,1846,8.9
657,AZ Yuma,1522,12.1
659,AZ Tucson,2891,8.9
662,AZ Tempe,3333,9.3
665,AZ Tempe,6173,7.5
667,AZ Tucson,2429,12.2
670,AZ Tucson,2900,5.4
671,AZ Tucson,1398,10.8
672,AZ Scottsdale,4516,7.1
673,AZ Tempe,3232,6.6
674,AZ Yuma,2442,7.2
677,AZ Yuma,4173,11.9
679,AZ Tucson,426,8.1
680,AZ Tucson,7565,10.4
685,AZ Tucson,4558,8.3
686,AZ Yuma,454,15.9
689,AZ Tucson,3526,4.7
690,AZ Surprise,2766,6.5
693,AZ Surprise,2489,6.2
696,AZ Scottsdale,217385,8.2
698,AZ Tucson,4449,9.6
699,AZ Scottsdale,4690,9.5
700,AZ Tucson,4446,8.9
701,AZ Tucson,1307,7.6
703,AZ Tucson,520116,10.2
704,AZ Yuma,4080,17.1
705,AZ Scottsdale,6736,7.7
706,AZ Tucson,1562,7.8
708,AZ Tempe,4520,8.7
710,AZ Yuma,2640,15.6
713,AZ Tucson,3216,8.7
715,AZ Tempe,5666,6.7
721,AZ Surprise,3559,8.4
722,AZ Tucson,2100,9.7
723,AZ Tucson,3364,6.5
724,AZ Tucson,3728,14.1
726,AZ Scottsdale,1383,9.4
728,AZ Surprise,3046,13.7
730,AZ Tempe,2675,2.2
731,AZ Tucson,4851,10.1
732,AZ Scottsdale,6585,5.9
733,AZ Yuma,3002,9.5
736,AZ Tucson,3171,8.1
737,AZ Scottsdale,2804,10.4
