,CA_City,CA_PopByMM,CA_DiagPer100k
0,CA Inglewood,"2,472",12.7
5,CA Antioch,"5,038",12.1
6,CA Burbank,"2,274",7.6
7,CA Folsom,"72,203",7.1
8,CA Moreno Valley,"193,365",10.7
9,CA Palmdale,"6,117",9.7
10,CA Riverside,"3,902",6.3
11,CA Roseville,"4,840",5.9
12,CA San Francisco,"805,235",8.6
13,CA San Jose,"945,942",8.8
20,CA Santa Clara,"116,468",6.9
21,CA Santa Maria,"7,800",9.7
22,CA Thousand Oaks,"3,597",6.9
23,CA Union City,"69,516",9.3
24,CA Vacaville,"92,428",8.6
25,CA West Covina,"2,246",8.8
606,CA Corona,"3,285",10.0
607,CA Anaheim,"4,848",11.3
611,CA Anaheim,"5,061",9.1
616,CA Alhambra,"3,464",12.0
621,CA Alhambra,"4,255",10.7
624,CA Anaheim,"336,265",9.9
626,CA Anaheim,"3,886",9.5
629,CA Anaheim,"6,488",9.1
632,CA Anaheim,"4,160",8.9
634,CA Anaheim,"7,643",10.7
643,CA Alhambra,"3,355",10.9
650,CA Alameda,"4,119",6.5
651,CA Alameda,"6,526",8.3
653,CA Anaheim,"2,147",10.2
658,CA Anaheim,"4,496",8.0
660,CA Anaheim,"1,648",3.9
664,CA Anaheim,"5,485",8.4
675,CA Antioch,498,7.6
676,CA Anaheim,"4,847",9.7
681,CA Alameda,"4,567",7.3
688,CA Anaheim,"6,212",7.9
692,CA Anaheim,"6,326",9.6
702,CA Alameda,"3,646",7.8
707,CA Antioch,"4,197",7.9
709,CA Anaheim,"4,131",7.6
714,CA Anaheim,"8,735",10.0
716,CA Antioch,"5,950",8.2
725,CA Alhambra,"3,206",13.3
738,CA Anaheim,"5,614",11.8
742,CA Anaheim,578,11.8
743,CA Alhambra,"3,387",13.2
751,CA Anaheim,"1,940",11.6
759,CA Alhambra,"5,654",9.6
766,CA Anaheim,"8,470",10.5
770,CA Anaheim,"1,727",11.8
772,CA Antioch,"3,173",10.2
775,CA Alhambra,"5,770",11.2
776,CA Anaheim,"5,219",8.5
783,CA Anaheim,"336,265",10.8
785,CA Anaheim,"6,551",11.1
786,CA Antioch,"4,300",10.0
787,CA Anaheim,"6,546",10.2
788,CA Alameda,"6,259",8.1
800,CA Anaheim,758,17.3
801,CA Alameda,"4,357",8.7
803,CA Antioch,"102,372",10.1
805,CA Alhambra,"4,998",9.9
807,CA Anaheim,"4,808",11.2
817,CA Anaheim,"4,330",8.4
820,CA Anaheim,"4,034",8.8
821,CA Anaheim,"6,922",10.1
827,CA Anaheim,"3,414",9.7
841,CA Anaheim,"5,912",12.1
843,CA Antioch,"4,517",8.4
845,CA Alhambra,"3,842",12.0
847,CA Anaheim,"5,475",7.3
852,CA Alameda,"4,107",9.2
853,CA Anaheim,"1,039",9.7
856,CA Anaheim,"8,725",11.6
861,CA Anaheim,"3,589",11.2
862,CA Anaheim,"6,421",7.0
867,CA Alhambra,"83,089",11.5
877,CA Anaheim,"1,337",11.5
880,CA Anaheim,"10,413",9.6
881,CA Alhambra,"3,942",10.7
883,CA Antioch,"6,595",11.0
886,CA Anaheim,499,5.0
890,CA Antioch,"4,166",9.8
891,CA Alameda,"4,640",7.4
893,CA Anaheim,"7,094",9.4
903,CA Anaheim,"6,578",11.5
908,CA Alameda,"73,812",7.5
909,CA Anaheim,"4,635",11.3
915,CA Alameda,"4,722",9.9
916,CA Anaheim,"3,658",9.1
919,CA Alameda,"4,651",7.6
925,CA Anaheim,"2,662",9.1
930,CA Alhambra,"4,098",13.3
934,CA Alhambra,"4,361",14.0
935,CA Anaheim,"5,537",10.6
940,CA Antioch,"4,881",10.8
945,CA Alhambra,"2,596",12.3
955,CA Antioch,"3,933",10.7
957,CA Antioch,"6,343",8.5
958,CA Anaheim,"9,584",11.3
959,CA Alameda,"3,183",8.4
960,CA Alhambra,"4,686",10.7
965,CA Anaheim,"1,238",9.8
977,CA Anaheim,"6,366",10.3
982,CA Antioch,"12,836",8.9
985,CA Alhambra,"3,802",12.0
989,CA Anaheim,"1,956",9.5
992,CA Anaheim,"1,372",9.5
993,CA Antioch,"102,372",9.7
996,CA Anaheim,"1,530",7.8
1000,CA Anaheim,"1,227",12.7
1004,CA Anaheim,"5,222",10.5
1006,CA Alhambra,"5,447",10.5
1007,CA Anaheim,"7,424",11.3
1015,CA Anaheim,"1,893",11.0
1017,CA Anaheim,"5,651",10.0
1019,CA Alameda,"4,896",9.6
1023,CA Anaheim,"3,954",8.1
1026,CA Antioch,"7,229",11.3
1033,CA Alameda,"4,866",8.0
1045,CA Anaheim,"4,135",7.5
1049,CA Alhambra,"83,089",10.9
1054,CA Inglewood,"5,124",12.5
1056,CA Anaheim,"4,834",7.1
1057,CA Alhambra,"4,871",12.4
1062,CA Anaheim,"3,862",9.7
1064,CA Antioch,"3,467",10.9
1065,CA Anaheim,"5,816",8.5
1076,CA Alhambra,"3,858",10.1
1078,CA Anaheim,"2,292",8.6
1081,CA Alhambra,"3,279",12.1
1084,CA Antioch,"2,378",10.1
1085,CA Antioch,"4,194",8.3
1092,CA Anaheim,"1,756",12.4
1097,CA Anaheim,"6,131",10.3
1099,CA Alameda,"73,812",8.3
1104,CA Anaheim,"4,006",9.8
1106,CA Anaheim,378,8.9
1114,CA Anaheim,"3,591",11.7
1117,CA Alameda,"3,271",9.2
1118,CA Anaheim,"5,097",12.3
1121,CA Anaheim,805,7.3
1122,CA Antioch,"6,416",9.7
1126,CA Alhambra,"4,218",11.2
1136,CA Anaheim,"5,913",11.0
1137,CA Alameda,"7,074",8.6
1142,CA Anaheim,"3,186",11.3
1145,CA Anaheim,"7,474",10.9
1154,CA Antioch,"6,620",10.0
1159,CA Antioch,"5,641",8.9
1160,CA Anaheim,"1,407",10.7
1164,CA Anaheim,"3,529",9.1
1173,CA Alameda,"2,928",7.8
1176,CA Anaheim,"6,861",9.7
1183,CA Anaheim,"7,141",11.5
1201,CA Daly City,"5,063",10.7
1202,CA Concord,"3,364",8.1
1203,CA Bakersfield,"7,257",8.3
1204,CA Berkeley,"3,640",7.0
1205,CA Chula Vista,"5,380",9.8
1206,CA Bellflower,"7,055",9.3
1207,CA Compton,"2,506",10.9
1208,CA Bellflower,"1,572",8.5
1209,CA Downey,"3,762",9.4
1210,CA Downey,"3,861",10.8
1211,CA Bakersfield,"7,012",10.1
1212,CA Corona,"7,008",11.9
1213,CA Carson,"7,126",12.0
1214,CA Bakersfield,"11,196",8.1
1215,CA Carlsbad,"4,942",8.0
1216,CA Buena Park,"3,563",12.1
1217,CA Compton,"3,285",12.3
1218,CA Chula Vista,"3,374",10.1
1219,CA Bakersfield,"3,113",14.0
1220,CA Bakersfield,834,7.7
1221,CA Citrus Heights,"4,478",9.0
1222,CA Chino,"5,753",8.3
1224,CA Costa Mesa,"3,042",8.3
1225,CA Chino,"77,983",10.7
1226,CA Corona,"5,799",7.5
1227,CA Apple Valley,"69,135",10.4
1228,CA Clovis,"5,176",8.7
1229,CA Burbank,"4,985",7.7
1230,CA Compton,"3,152",12.6
1231,CA Concord,"7,367",9.0
1232,CA Bakersfield,"5,579",11.4
1233,CA Daly City,"5,068",11.3
1234,CA Carson,"7,214",10.7
1235,CA Compton,699,10.0
1236,CA Chula Vista,"3,780",9.0
1237,CA Baldwin Park,"75,390",12.4
1238,CA Chino,"4,374",9.0
1239,CA Baldwin Park,"2,905",11.0
1240,CA Corona,"3,319",9.7
1241,CA Clovis,"5,708",11.1
1242,CA Bakersfield,"3,653",10.7
1243,CA Downey,"3,588",10.9
1244,CA Berkeley,"3,633",6.2
1245,CA Downey,"111,772",9.6
1246,CA Berkeley,"4,396",6.4
1247,CA Chico,"1,674",6.5
1248,CA Carlsbad,"3,841",7.9
1249,CA Bakersfield,"2,963",7.9
1250,CA Daly City,"1,230",11.9
1251,CA Carlsbad,"6,650",6.1
1252,CA Chico,"5,716",8.7
1253,CA Concord,"1,697",7.5
1254,CA Costa Mesa,"6,591",5.9
1255,CA Carlsbad,"6,958",7.8
1256,CA Chula Vista,"3,431",12.2
1257,CA Carson,"3,142",10.7
1258,CA Daly City,"101,123",10.3
1259,CA Citrus Heights,"6,799",9.5
1260,CA Chino Hills,"4,541",9.4
1261,CA Baldwin Park,"7,305",12.0
1262,CA Bakersfield,"7,449",12.8
1263,CA Chino Hills,"74,799",8.9
1265,CA Bakersfield,"347,483",10.8
1266,CA Clovis,"3,064",13.9
1267,CA Concord,"3,417",9.1
1268,CA Carson,"6,805",11.7
