,FL_City,FL_PopByMM,FL_DiagPer100k
16,FL Cape Coral,"3,293",14.6
17,FL Hollywood,"4,329",8.9
18,FL Melbourne,"3,889",9.3
19,FL Pompano Beach,"2,511",11.2
8311,FL Gainesville,"124,354",7.0
8312,FL Clearwater,"5,844",9.3
8313,FL Hialeah,"224,669",15.3
8314,FL Hollywood,"2,380",11.4
8315,FL Coral Springs,"5,410",10.1
8317,FL Deerfield Beach,"4,712",17.7
8318,FL Clearwater,"6,677",11.7
8319,FL Gainesville,"2,180",4.5
8320,FL Fort Lauderdale,"2,699",10.1
8321,FL Clearwater,"107,685",9.4
8322,FL Gainesville,"2,770",10.9
8323,FL Davie,479,8.2
8324,FL Cape Coral,"9,287",11.8
8328,FL Fort Lauderdale,"3,729",9.1
8329,FL Hialeah,"6,140",19.6
8330,FL Deltona,"2,832",14.2
8331,FL Boca Raton,"2,224",1.1
8333,FL Boynton Beach,"3,673",12.1
8334,FL Hollywood,"3,577",9.4
8335,FL Davie,"6,009",8.2
8337,FL Boynton Beach,"2,015",10.7
8338,FL Davie,"7,535",10.1
8340,FL Gainesville,"3,021",15.1
8341,FL Gainesville,"4,734",4.9
8343,FL Clearwater,"2,804",12.8
8344,FL Coral Springs,"4,982",8.4
8345,FL Boca Raton,"3,878",10.1
8347,FL Hialeah,"7,688",18.8
8348,FL Coral Springs,"6,145",9.4
8349,FL Deerfield Beach,"2,206",8.8
8352,FL Fort Lauderdale,"3,381",9.0
8354,FL Clearwater,"1,485",10.5
8355,FL Boca Raton,"4,912",9.9
8356,FL Hollywood,"4,082",8.7
8357,FL Fort Lauderdale,"6,637",10.0
8358,FL Hollywood,"4,630",11.0
8359,FL Boca Raton,"1,079",8.3
8361,FL Fort Lauderdale,742,10.6
8362,FL Boca Raton,"4,276",10.0
8363,FL Clearwater,"2,426",13.8
8366,FL Boynton Beach,"1,938",17.6
8367,FL Fort Lauderdale,"5,572",13.6
8368,FL Hialeah,"5,170",14.7
8370,FL Coral Springs,"5,866",10.1
8372,FL Hialeah,"6,447",18.7
8373,FL Hialeah,"4,535",14.1
8374,FL Hialeah,"3,315",18.2
8378,FL Coral Springs,"3,015",7.0
8379,FL Cape Coral,"8,526",9.6
8380,FL Cape Coral,"4,382",10.9
8382,FL Fort Lauderdale,"2,802",8.7
8384,FL Gainesville,"7,644",4.8
8385,FL Deerfield Beach,"2,263",10.2
8386,FL Cape Coral,"11,066",9.5
8388,FL Hollywood,"4,082",9.5
8389,FL Fort Lauderdale,"4,980",11.1
8392,FL Davie,"4,672",8.4
8394,FL Fort Lauderdale,"1,968",11.8
8395,FL Boca Raton,"5,222",8.7
8396,FL Boca Raton,"2,924",10.5
8397,FL Deltona,"6,530",10.5
8399,FL Clearwater,"2,682",12.0
8400,FL Boynton Beach,"4,619",12.9
8401,FL Hialeah,"5,508",16.5
8403,FL Boynton Beach,"6,185",15.6
8404,FL Hollywood,"5,909",11.6
8405,FL Hialeah,"4,683",20.2
8406,FL Fort Lauderdale,"2,466",18.1
8409,FL Hollywood,"4,007",8.8
8412,FL Clearwater,"4,073",9.9
8413,FL Deerfield Beach,"3,824",7.7
8414,FL Clearwater,"6,436",10.9
8415,FL Hollywood,"3,869",9.8
8418,FL Cape Coral,"8,065",12.7
8419,FL Gainesville,"2,559",2.5
8420,FL Cape Coral,"2,354",12.9
8422,FL Hollywood,"3,271",11.5
8423,FL Deerfield Beach,"4,463",14.1
8424,FL Gainesville,"5,926",1.3
8427,FL Deltona,"5,866",12.0
8428,FL Clearwater,92,14.0
8429,FL Davie,"7,410",8.4
8430,FL Boynton Beach,"68,217",11.8
8431,FL Deltona,"6,829",12.5
8435,FL Gainesville,974,7.5
8436,FL Coral Springs,"4,129",8.1
8437,FL Hialeah,"5,768",18.6
8438,FL Hollywood,559,11.4
8440,FL Hialeah,"7,318",19.1
8441,FL Fort Lauderdale,"4,988",14.1
8444,FL Davie,"6,165",10.2
8445,FL Clearwater,"5,063",10.6
8446,FL Cape Coral,"2,057",12.5
8447,FL Boca Raton,"1,025",8.1
8448,FL Boynton Beach,601,8.8
8449,FL Gainesville,155,8.6
8450,FL Deerfield Beach,"3,551",15.6
8454,FL Gainesville,"4,010",17.4
8455,FL Clearwater,"1,472",9.2
8456,FL Cape Coral,337,8.3
8458,FL Boca Raton,"5,183",9.8
8460,FL Deltona,"2,505",10.3
8461,FL Hollywood,"2,521",8.6
8462,FL Hollywood,"3,532",11.4
8463,FL Gainesville,"2,482",6.2
8464,FL Fort Lauderdale,"3,565",8.6
8465,FL Fort Lauderdale,"2,234",13.4
8466,FL Fort Lauderdale,"4,113",9.0
8467,FL Coral Springs,"4,634",7.0
8468,FL Boynton Beach,"3,163",9.7
8469,FL Fort Lauderdale,"4,659",10.1
8470,FL Gainesville,"2,149",3.5
8471,FL Deltona,"3,637",12.4
8476,FL Gainesville,"124,354",10.9
8477,FL Hialeah,"5,320",15.6
8479,FL Cape Coral,"3,899",12.2
8480,FL Coral Springs,"6,192",6.5
8483,FL Boca Raton,"2,838",11.5
8484,FL Hollywood,"3,894",11.8
8485,FL Deerfield Beach,"2,365",14.0
8486,FL Coral Springs,"6,046",8.5
8487,FL Fort Lauderdale,"2,683",9.8
8488,FL Clearwater,"2,487",9.7
8493,FL Boca Raton,287,5.4
8494,FL Hialeah,"4,056",13.7
8496,FL Gainesville,"6,358",11.0
8497,FL Cape Coral,"5,423",9.0
8498,FL Deltona,"7,540",12.2
8499,FL Clearwater,"4,475",10.6
8500,FL Gainesville,"3,604",4.8
8501,FL Hollywood,"4,642",10.4
8502,FL Clearwater,519,12.3
8504,FL Cape Coral,"5,332",9.2
8505,FL Coral Springs,"3,235",9.2
8506,FL Hollywood,"5,160",11.5
8507,FL Boca Raton,"1,839",9.7
8508,FL Hollywood,"1,597",9.7
8510,FL Hialeah,"6,487",16.9
8511,FL Clearwater,"5,793",14.6
8512,FL Boynton Beach,833,5.8
8517,FL Fort Lauderdale,"3,797",15.3
8518,FL Davie,"3,210",8.6
8523,FL Hollywood,"6,647",11.5
8524,FL Hialeah,"2,498",15.8
8525,FL Gainesville,"1,690",5.5
8527,FL Coral Springs,"4,903",8.3
8528,FL Fort Lauderdale,"1,296",7.4
8530,FL Hialeah,"4,806",18.0
8531,FL Boca Raton,"3,298",8.3
8532,FL Davie,"4,421",7.9
8534,FL Boca Raton,"3,314",10.2
8537,FL Deerfield Beach,"5,257",9.5
8538,FL Deltona,"7,224",11.6
8539,FL Clearwater,"3,799",13.5
8541,FL Deerfield Beach,"6,063",10.0
8542,FL Cape Coral,"8,392",9.1
8543,FL Gainesville,"6,207",5.9
8546,FL Fort Lauderdale,799,11.7
8547,FL Hialeah,"5,939",17.0
8548,FL Davie,"1,197",9.1
8549,FL Boynton Beach,"3,120",12.8
8550,FL Clearwater,"2,898",10.2
8552,FL Boynton Beach,"68,217",10.2
8554,FL Boynton Beach,"1,254",10.8
8555,FL Hialeah,"1,976",15.4
8557,FL Davie,"5,863",7.4
8564,FL Fort Lauderdale,183,19.8
8566,FL Deltona,"85,182",11.9
8567,FL Gainesville,88,10.0
8569,FL Davie,525,5.7
8571,FL Boca Raton,"4,171",7.2
8572,FL Gainesville,"3,308",8.0
8574,FL Coral Springs,"4,241",7.5
8576,FL Clearwater,"3,374",10.3
8577,FL Hollywood,"4,237",9.8
8578,FL Coral Springs,"121,096",8.5
8580,FL Fort Lauderdale,"3,938",10.3
8581,FL Cape Coral,"6,528",10.5
8582,FL Gainesville,"3,657",7.0
8583,FL Fort Lauderdale,"7,372",15.3
8584,FL Hialeah,"7,044",17.9
8586,FL Fort Lauderdale,"3,026",16.2
8588,FL Clearwater,"3,592",10.5
8590,FL Hialeah,"6,109",19.8
8591,FL Fort Lauderdale,"1,761",9.3
8592,FL Coral Springs,"5,522",7.4
8593,FL Boynton Beach,"3,726",15.0
8594,FL Boynton Beach,"3,611",17.3
8596,FL Boca Raton,"1,253",9.4
8598,FL Boca Raton,"3,801",7.4
8600,FL Cape Coral,"5,245",11.4
8602,FL Boynton Beach,"2,364",9.3
8604,FL Hialeah,"5,069",13.5
8606,FL Fort Lauderdale,"1,787",6.3
8609,FL Coral Springs,"8,850",7.7
8610,FL Hialeah,"6,441",13.0
8613,FL Hialeah,"6,480",17.7
8615,FL Hollywood,"6,008",14.5
8617,FL Clearwater,"3,189",10.0
8619,FL Fort Lauderdale,"3,855",11.9
8620,FL Coral Springs,905,5.4
8621,FL Hialeah,"4,782",17.8
8622,FL Clearwater,686,8.8
8624,FL Deerfield Beach,"4,724",8.6
8625,FL Boca Raton,"1,010",11.8
8626,FL Fort Lauderdale,"3,392",8.9
8629,FL Gainesville,"4,976",8.1
8630,FL Deltona,"5,959",12.2
8631,FL Clearwater,983,9.3
8633,FL Gainesville,"2,906",9.1
8635,FL Clearwater,"5,167",13.7
8637,FL Fort Lauderdale,"2,722",7.5
8638,FL Davie,"7,906",7.5
8639,FL Boynton Beach,"4,843",9.8
8640,FL Hialeah,"3,900",22.2
8641,FL Hollywood,"3,843",8.2
8643,FL Cape Coral,"6,343",8.9
8644,FL Coral Springs,"5,032",11.7
8645,FL Hollywood,"1,184",9.1
8646,FL Clearwater,"4,319",12.0
8647,FL Gainesville,"6,343",3.9
8649,FL Fort Lauderdale,"3,403",18.2
8651,FL Boca Raton,"84,392",8.9
8654,FL Davie,"91,992",8.4
8655,FL Boynton Beach,"3,751",7.1
8657,FL Hialeah,"4,323",18.6
8659,FL Hollywood,"6,488",8.5
8660,FL Gainesville,"4,120",4.2
8661,FL Cape Coral,"154,305",11.2
8663,FL Gainesville,"1,364",8.4
8664,FL Cape Coral,"6,721",12.2
8665,FL Coral Springs,"4,070",7.7
8667,FL Cape Coral,"2,954",15.3
8668,FL Hollywood,"2,401",13.1
8671,FL Deerfield Beach,"4,626",10.4
8672,FL Davie,"2,545",8.0
8673,FL Cape Coral,"3,540",12.0
8674,FL Clearwater,"2,010",17.5
8676,FL Clearwater,"1,448",8.6
8677,FL Deltona,"2,254",10.5
8678,FL Fort Lauderdale,"4,621",19.9
8680,FL Davie,"3,228",11.6
8682,FL Coral Springs,"5,713",8.8
8684,FL Hialeah,"4,923",18.6
8685,FL Hialeah,"6,256",17.0
8686,FL Gainesville,"6,914",7.8
8688,FL Clearwater,"2,712",9.3
8689,FL Boca Raton,"4,470",6.2
8690,FL Hialeah,"4,082",18.5
8691,FL Davie,"5,024",5.9
8692,FL Hialeah,"6,568",15.3
8693,FL Deerfield Beach,"5,219",12.8
8694,FL Hollywood,"6,706",11.7
8695,FL Fort Lauderdale,"2,890",7.9
8696,FL Boca Raton,"84,392",7.3
8697,FL Coral Springs,"121,096",8.6
8699,FL Cape Coral,"4,933",11.3
8700,FL Fort Lauderdale,"165,521",10.8
8702,FL Deerfield Beach,"3,321",14.9
8703,FL Cape Coral,"4,686",12.8
8705,FL Fort Lauderdale,"6,592",15.3
8706,FL Hollywood,"3,942",11.0
8707,FL Gainesville,"6,438",9.1
8709,FL Deltona,"85,182",11.1
8710,FL Gainesville,"3,564",9.1
8711,FL Boca Raton,"6,318",9.0
8712,FL Cape Coral,"3,594",12.4
8713,FL Boca Raton,600,9.8
8714,FL Deltona,"4,520",11.1
8715,FL Hialeah,"5,412",17.6
8716,FL Boynton Beach,"2,161",17.5
8717,FL Boynton Beach,"1,501",14.9
8718,FL Hialeah,"7,435",17.2
8720,FL Fort Lauderdale,"2,366",18.5
8723,FL Hialeah,"4,864",18.0
8725,FL Gainesville,"1,188",7.7
8729,FL Clearwater,"4,027",8.3
8733,FL Fort Lauderdale,"2,174",9.5
8734,FL Coral Springs,"3,297",9.3
8736,FL Fort Lauderdale,"4,493",8.3
8737,FL Hollywood,"2,687",11.6
8739,FL Deltona,"6,995",12.3
8741,FL Deltona,"2,164",10.7
8743,FL Gainesville,"7,431",4.3
8744,FL Fort Lauderdale,"1,215",11.8
8745,FL Fort Lauderdale,"3,260",8.5
8747,FL Boynton Beach,240,20.5
8748,FL Coral Springs,"3,652",9.1
8749,FL Davie,"91,992",8.5
8751,FL Hialeah,"6,696",17.6
8753,FL Gainesville,"1,281",3.3
8754,FL Hollywood,"140,768",9.9
8755,FL Hialeah,"4,049",20.9
8757,FL Cape Coral,"2,135",14.0
8759,FL Boynton Beach,"3,723",10.4
8762,FL Hialeah,"224,669",17.8
8763,FL Davie,"7,975",8.9
8764,FL Clearwater,"1,379",14.0
8766,FL Fort Lauderdale,"3,467",6.4
8767,FL Deerfield Beach,"6,577",8.8
8768,FL Hollywood,"5,839",12.8
8770,FL Coral Springs,"1,819",7.3
8771,FL Gainesville,"5,665",12.6
8773,FL Davie,660,8.1
8775,FL Hialeah,"3,066",20.2
8777,FL Hollywood,"5,531",11.5
8779,FL Hollywood,"4,852",11.4
8780,FL Cape Coral,"5,940",13.9
8781,FL Fort Lauderdale,"2,992",7.9
8782,FL Clearwater,"2,519",8.9
8783,FL Deltona,"6,936",10.9
8784,FL Gainesville,"3,418",18.7
8786,FL Hialeah,"4,855",21.0
8787,FL Fort Lauderdale,"1,405",8.7
8788,FL Fort Lauderdale,60,16.9
8789,FL Deltona,"5,131",12.1
8790,FL Clearwater,"5,888",10.1
8792,FL Hialeah,"6,641",17.4
8794,FL Gainesville,565,16.0
8797,FL Hialeah,"5,962",14.6
8798,FL Coral Springs,"6,982",9.3
8800,FL Gainesville,145,9.5
8802,FL Clearwater,"1,144",10.7
8803,FL Davie,288,8.8
8804,FL Boca Raton,"3,794",8.2
8805,FL Davie,"6,468",9.1
8807,FL Boca Raton,"5,012",9.0
8808,FL Coral Springs,"5,213",8.1
8809,FL Fort Lauderdale,"6,890",5.8
8810,FL Deerfield Beach,"75,018",11.7
8811,FL Gainesville,"1,269",6.4
8812,FL Clearwater,"107,685",11.2
8813,FL Boynton Beach,"2,892",8.7
8814,FL Boca Raton,"3,108",12.0
8815,FL Fort Lauderdale,"2,879",8.7
8816,FL Fort Lauderdale,"5,289",8.3
8817,FL Hollywood,"1,896",10.2
8818,FL Gainesville,"2,877",2.4
8819,FL Deltona,"3,958",13.0
8820,FL Fort Lauderdale,"1,063",11.0
8822,FL Clearwater,"1,868",10.6
8823,FL Coral Springs,"5,003",7.9
8824,FL Fort Lauderdale,"165,521",9.7
8826,FL Boynton Beach,"4,717",6.8
8828,FL Hialeah,"7,159",20.4
8829,FL Fort Lauderdale,"3,241",18.2
8834,FL Boca Raton,"4,040",9.2
8835,FL Gainesville,363,14.7
8836,FL Boca Raton,"2,228",8.2
8838,FL Deerfield Beach,"7,944",15.3
8840,FL Clearwater,"2,899",12.7
8841,FL Cape Coral,"9,067",9.3
8843,FL Clearwater,"1,363",9.8
8844,FL Fort Lauderdale,"4,742",8.3
8845,FL Cape Coral,"6,229",10.7
8846,FL Hollywood,"3,086",16.1
8847,FL Deerfield Beach,"3,491",9.6
8849,FL Hialeah,"3,942",18.8
8850,FL Hollywood,"140,768",11.0
8851,FL Fort Lauderdale,"4,254",9.8
8853,FL Boynton Beach,"5,068",10.4
8854,FL Davie,"5,379",8.2
8855,FL Boynton Beach,"2,110",12.1
8856,FL Coral Springs,"3,172",8.0
8857,FL Davie,"4,984",7.3
8858,FL Boynton Beach,109,13.9
8859,FL Hialeah,"5,501",17.9
8862,FL Cape Coral,"4,055",12.5
8863,FL Fort Lauderdale,"3,123",8.2
8864,FL Hollywood,"4,980",9.9
8865,FL Hialeah,"5,451",21.1
8866,FL Coral Springs,"3,068",8.7
8867,FL Fort Lauderdale,"3,929",8.8
8868,FL Deerfield Beach,"75,018",9.9
8869,FL Deerfield Beach,"4,412",9.4
8871,FL Boca Raton,"2,288",9.4
8874,FL Cape Coral,"5,283",11.2
8875,FL Clearwater,93,12.8
8876,FL Hollywood,"5,595",12.5
8877,FL Deltona,"4,272",13.0
8878,FL Cape Coral,"154,305",9.3
8880,FL Cape Coral,"4,608",10.9
8881,FL Hollywood,"2,805",12.5
8882,FL Jacksonville,"5,235",12.4
8883,FL Lakeland,"2,034",4.8
8884,FL Orlando,317,5.0
8885,FL Miami,"6,942",17.6
8886,FL Palm Bay,"11,661",10.4
8887,FL Lakeland,"2,171",18.1
8888,FL Miami,"6,315",18.0
8889,FL Lauderhill,"3,802",18.2
8890,FL Jacksonville,"4,777",21.8
8891,FL Palm Bay,"3,644",14.9
8892,FL Jacksonville,"3,441",11.6
8893,FL Palm Coast,"3,975",13.7
8894,FL Miami,"9,593",16.8
8895,FL Orlando,"1,492",8.0
8896,FL Jacksonville,"4,053",11.3
8897,FL Jacksonville,"6,068",10.7
8898,FL Jacksonville,"3,169",8.0
8899,FL Jacksonville,"7,697",9.3
8900,FL Miami,"3,827",20.8
8901,FL Largo,"2,962",11.7
8903,FL Miami Beach,"2,158",7.8
8904,FL Miami Beach,"2,991",8.9
8905,FL Lakeland,"3,138",16.5
8906,FL Melbourne,"2,413",9.5
8907,FL Orlando,"3,004",21.8
8908,FL Miami,71,22.7
8909,FL Jacksonville,"2,621",12.8
8910,FL Melbourne,"2,616",8.3
8911,FL Jacksonville,"7,042",7.8
8912,FL Jacksonville,"6,084",17.6
8913,FL Miami Gardens,"1,242",12.4
8914,FL Jacksonville,"2,378",13.8
8915,FL Miami,"2,837",7.2
8916,FL Miramar,"3,197",12.3
8917,FL Palm Bay,"7,216",11.4
8918,FL Orlando,"1,555",10.9
8919,FL Lakeland,664,9.7
8920,FL Lauderhill,"6,806",14.3
8921,FL Miami,"3,442",6.5
8922,FL Orlando,788,8.3
8923,FL Miami Beach,"2,327",8.5
8924,FL Largo,98,11.2
8925,FL Jacksonville,"3,512",14.9
8926,FL Palm Coast,"5,246",12.1
8927,FL Jacksonville,"2,881",21.4
8928,FL Jacksonville,"4,659",11.4
8929,FL Jacksonville,"7,133",12.2
8930,FL Largo,"3,311",14.2
8931,FL Miami Gardens,"7,578",12.9
8932,FL Orlando,"2,691",14.8
8933,FL Orlando,"6,640",8.1
8934,FL Miami,"1,592",18.1
8935,FL Melbourne,"4,561",11.2
8936,FL Miami,"4,010",16.4
8937,FL Orlando,"3,142",7.8
8938,FL Largo,126,6.0
8939,FL Orlando,"6,302",13.9
8940,FL Largo,"2,974",13.8
8941,FL Jacksonville,"3,226",17.9
8942,FL Jacksonville,"9,233",3.9
8943,FL Largo,"5,057",10.5
8944,FL Jacksonville,"3,494",10.1
8945,FL Miami Beach,"3,812",13.6
8946,FL Lakeland,707,6.5
8947,FL Miramar,"10,159",10.5
8948,FL Miami,"6,998",13.1
8949,FL Miramar,"8,371",8.8
8950,FL Orlando,241,9.4
8951,FL Jacksonville,"3,669",10.9
8952,FL Jacksonville,"3,964",20.1
8953,FL Miami,"1,069",3.1
8954,FL Jacksonville,"6,525",11.4
8955,FL Jacksonville,"1,722",9.1
8958,FL Orlando,"2,074",7.6
8959,FL Miami,"2,295",12.5
8960,FL Jacksonville,"5,339",10.2
8961,FL Palm Coast,"5,819",9.1
8962,FL Jacksonville,"1,543",15.4
8963,FL Lauderhill,"5,555",13.6
8964,FL Lakeland,"4,811",11.9
8965,FL Jacksonville,"9,815",9.4
8966,FL Miami,"5,733",16.9
8968,FL Jacksonville,"11,917",10.3
8969,FL Lakeland,"2,075",22.8
8970,FL Jacksonville,"2,903",9.5
8971,FL Miami,"3,336",20.8
8972,FL Largo,"1,701",8.0
8973,FL Largo,"1,023",13.6
8974,FL Orlando,170,9.6
8975,FL Miami,"399,457",15.2
8976,FL Jacksonville,"2,608",6.9
8977,FL Lakeland,"1,348",14.1
8978,FL Jacksonville,"2,877",19.2
8979,FL Orlando,"4,252",19.9
8980,FL Miami Beach,"1,584",15.3
8981,FL Miami Gardens,"7,643",14.6
8982,FL Jacksonville,"3,185",7.5
8983,FL Miramar,"10,560",8.2
8984,FL Orlando,656,9.8
8985,FL Jacksonville,"821,784",11.2
8986,FL Miami,"6,377",18.0
8987,FL Miami Beach,"4,170",11.8
8988,FL Jacksonville,"4,151",11.5
8989,FL Miami,"2,096",15.3
8990,FL Jacksonville,"2,605",9.6
8991,FL Miami,"4,129",15.9
8992,FL Largo,991,9.2
8993,FL Orlando,"3,805",6.5
8994,FL Jacksonville,"5,692",10.5
8995,FL Jacksonville,"5,447",11.1
8997,FL Miami Beach,"3,127",8.2
8998,FL Lauderhill,"4,497",16.9
8999,FL Orlando,72,16.2
9000,FL Palm Bay,"103,190",10.4
9001,FL Miami Beach,"2,436",8.9
9002,FL Jacksonville,"4,349",8.7
9003,FL Miami,"4,161",15.4
9005,FL Palm Bay,"8,241",12.4
9006,FL Orlando,"7,246",11.3
9007,FL Jacksonville,"5,495",12.0
9008,FL Orlando,"238,300",11.6
9009,FL Jacksonville,"3,850",24.8
9010,FL Miami,"4,544",15.7
9011,FL Melbourne,"6,764",9.6
9012,FL Orlando,"2,088",10.3
9013,FL Lakeland,"4,158",7.3
9014,FL Jacksonville,"8,257",7.6
9015,FL Lakeland,"3,309",8.8
9016,FL Jacksonville,"5,009",7.3
