,IL_City,IL_PopByMM,IL_DiagPer100k
7698,IL Chicago,"2,209",12.9
7784,IL Chicago,"2,242",13.3
10674,IL Aurora,"4,971",12.9
10675,IL Bloomington,"4,331",10.8
10676,IL Bloomington,"3,228",8.9
10677,IL Bloomington,"3,850",9.9
10678,IL Bolingbrook,"3,742",8.9
10679,IL Aurora,"7,049",12.7
10680,IL Champaign,"3,919",6.9
10681,IL Aurora,"4,064",8.7
10682,IL Bolingbrook,"1,122",6.6
10683,IL Arlington Heights,"5,846",7.2
10684,IL Arlington Heights,"1,871",9.0
10685,IL Arlington Heights,"1,101",5.8
10686,IL Bolingbrook,"73,366",10.5
10687,IL Champaign,"1,069",10.3
10688,IL Champaign,"4,819",3.0
10689,IL Aurora,"2,301",6.5
10690,IL Aurora,"2,839",7.4
10691,IL Arlington Heights,"5,586",8.9
10692,IL Aurora,"2,498",11.5
10693,IL Bloomington,"2,292",4.0
10694,IL Bloomington,355,5.9
10695,IL Champaign,"81,055",9.5
10696,IL Aurora,"4,075",6.3
10697,IL Aurora,"5,370",12.1
10698,IL Champaign,"4,592",8.8
10699,IL Bolingbrook,"3,899",7.7
10700,IL Aurora,"9,956",10.0
10701,IL Bloomington,"5,130",5.8
10702,IL Arlington Heights,"75,101",7.9
10703,IL Aurora,"6,019",5.7
10704,IL Aurora,"4,343",6.3
10705,IL Bloomington,"2,292",8.7
10706,IL Arlington Heights,"1,412",7.6
10707,IL Aurora,"197,899",9.6
10708,IL Aurora,"4,273",13.3
10709,IL Arlington Heights,"3,400",6.5
10710,IL Aurora,"9,809",13.0
10711,IL Champaign,"4,463",6.7
10712,IL Arlington Heights,"2,014",8.1
10713,IL Arlington Heights,"3,299",7.8
10714,IL Champaign,"3,650",12.3
10715,IL Aurora,"4,114",6.4
10716,IL Arlington Heights,"5,686",8.1
10717,IL Bolingbrook,"4,508",10.4
10718,IL Bloomington,"4,171",10.3
10719,IL Champaign,"6,581",9.4
10720,IL Champaign,"3,372",3.5
10721,IL Bloomington,"2,003",9.5
10722,IL Aurora,"8,837",14.6
10723,IL Aurora,"4,565",10.8
10724,IL Aurora,"3,008",13.0
10725,IL Bolingbrook,"3,365",15.0
10726,IL Arlington Heights,"3,440",7.3
10727,IL Aurora,"1,848",8.9
10728,IL Bloomington,"8,205",6.7
10729,IL Aurora,"5,015",10.9
10730,IL Champaign,"3,599",8.7
10731,IL Bloomington,"76,610",8.8
10732,IL Aurora,"11,471",5.7
10733,IL Arlington Heights,709,7.6
10734,IL Aurora,"2,819",5.0
10735,IL Aurora,"1,180",12.6
10736,IL Champaign,"3,497",1.1
10737,IL Arlington Heights,"2,646",9.1
10738,IL Bloomington,"8,407",6.3
10739,IL Bolingbrook,"7,907",9.3
10740,IL Bolingbrook,"2,129",9.5
10741,IL Arlington Heights,"75,101",6.6
10742,IL Champaign,"4,843",2.5
10743,IL Bolingbrook,"5,070",10.2
10744,IL Aurora,"5,929",5.7
10745,IL Aurora,"5,407",6.6
10746,IL Aurora,"6,179",11.6
10747,IL Arlington Heights,"6,384",7.0
10748,IL Arlington Heights,"4,712",7.7
10749,IL Bloomington,"2,518",10.7
10750,IL Bolingbrook,"1,571",8.9
10751,IL Bloomington,"1,108",7.0
10752,IL Aurora,"5,854",8.4
10753,IL Champaign,"3,904",5.9
10754,IL Arlington Heights,"2,939",8.8
10755,IL Bolingbrook,"3,107",9.6
10756,IL Bolingbrook,"2,912",10.4
10757,IL Aurora,"197,899",11.4
10758,IL Arlington Heights,"4,073",7.5
10759,IL Aurora,51,0.9
10760,IL Bloomington,"1,711",9.0
10761,IL Aurora,"5,610",11.7
10762,IL Arlington Heights,"3,115",9.6
10764,IL Aurora,"7,714",11.6
10765,IL Bloomington,"76,610",8.4
10766,IL Bloomington,"2,425",13.2
10767,IL Bolingbrook,"3,811",9.7
10768,IL Aurora,"5,440",10.4
10769,IL Champaign,"4,510",8.1
10770,IL Bloomington,"4,395",10.4
