,NY_City,NY_PopByMM,NY_DeathPer100k
40,NY New York,8175133,10.9
41,NY Rochester,2580,13.6
42,NY Rochester,4430,12.3
44,NY Yonkers,195976,10.5
17147,NY Mount Vernon,4502,12.6
17149,NY Buffalo,1150,20.1
17153,NY Albany,5888,13.2
17154,NY Buffalo,1458,7.7
17160,NY Buffalo,3354,8.1
17163,NY Buffalo,3336,13.7
17165,NY Albany,3676,10.2
17166,NY Albany,2051,11.9
17168,NY Mount Vernon,3866,16.0
17169,NY Buffalo,2425,19.4
17174,NY New Rochelle,4993,7.4
17175,NY Buffalo,4704,9.1
17179,NY New Rochelle,6216,10.5
17180,NY Albany,3773,5.7
17182,NY Buffalo,2681,15.5
17183,NY Mount Vernon,3449,9.2
17184,NY Buffalo,5469,9.5
17185,NY Buffalo,2761,10.7
17195,NY Buffalo,4182,13.5
17201,NY Buffalo,4076,11.7
17202,NY Albany,2139,14.0
17204,NY New Rochelle,5340,9.7
17205,NY Albany,3816,9.4
17207,NY Buffalo,4577,14.4
17209,NY Buffalo,3957,14.6
17212,NY New Rochelle,77062,10.0
17219,NY Buffalo,2294,20.0
17223,NY Mount Vernon,3444,14.1
17225,NY Mount Vernon,3367,9.8
17228,NY Buffalo,3311,20.0
17229,NY Buffalo,2409,9.0
17230,NY New Rochelle,5252,10.8
17233,NY Buffalo,2460,11.4
17238,NY Buffalo,2589,7.6
17241,NY Buffalo,1485,21.5
17243,NY Albany,3560,6.0
17244,NY Mount Vernon,3524,15.7
17247,NY Buffalo,3154,10.8
17251,NY Buffalo,1549,1.5
17254,NY Buffalo,2917,11.4
17256,NY Albany,4606,5.8
17257,NY Buffalo,2923,14.3
17260,NY Buffalo,3819,7.7
17263,NY Buffalo,3089,9.7
17265,NY Mount Vernon,67292,12.9
17267,NY Buffalo,5975,13.0
17271,NY Mount Vernon,3071,11.0
17275,NY Buffalo,3072,19.9
17279,NY New Rochelle,5429,8.2
17280,NY Albany,2872,16.6
17282,NY Albany,3821,15.2
17283,NY New Rochelle,4603,10.6
17285,NY Albany,5771,10.2
17287,NY Buffalo,2346,19.2
17288,NY Buffalo,3948,13.6
17290,NY Buffalo,1798,7.6
17291,NY Buffalo,2466,13.7
17298,NY Buffalo,2451,21.8
17299,NY Buffalo,3514,7.1
17300,NY Buffalo,4986,13.7
17301,NY Buffalo,3773,14.7
17305,NY Buffalo,3520,17.9
17306,NY Buffalo,3766,8.3
17307,NY Buffalo,1639,12.2
17309,NY Albany,6579,9.4
17310,NY Buffalo,3565,20.6
17319,NY Mount Vernon,2819,13.1
17320,NY Buffalo,2262,11.9
17321,NY Mount Vernon,1467,8.8
17323,NY Buffalo,3108,16.4
17325,NY Buffalo,5983,8.8
17328,NY Albany,97856,9.3
17333,NY Buffalo,3253,22.3
17335,NY Buffalo,3035,16.3
17338,NY Buffalo,2757,21.1
17345,NY Buffalo,1997,19.5
17348,NY Buffalo,6709,11.7
17351,NY Buffalo,4709,5.6
17353,NY Buffalo,5730,9.1
17354,NY New Rochelle,5727,11.8
17356,NY Albany,2581,8.7
17357,NY New Rochelle,4242,10.9
17358,NY Buffalo,3133,14.8
17359,NY Buffalo,3366,12.4
17362,NY Albany,3412,10.4
17363,NY Albany,5165,13.4
17368,NY Mount Vernon,4088,13.3
17372,NY Mount Vernon,67292,12.1
17374,NY Buffalo,4165,16.2
17375,NY Mount Vernon,3817,12.9
17376,NY Albany,4415,7.6
17380,NY Buffalo,3380,7.1
17383,NY Buffalo,2187,16.9
17384,NY Albany,2393,18.9
17388,NY Albany,5203,0.9
17391,NY Buffalo,4497,17.2
17393,NY Buffalo,4054,12.1
17396,NY Mount Vernon,3894,10.8
17397,NY Buffalo,3634,9.5
17398,NY Buffalo,1374,1.3
17401,NY Buffalo,2441,7.8
17403,NY Buffalo,261310,13.5
17406,NY Buffalo,1777,16.7
17409,NY Buffalo,3119,23.4
17410,NY Mount Vernon,2639,17.4
17413,NY Mount Vernon,4334,12.0
17414,NY Buffalo,4468,17.7
17417,NY Buffalo,3027,8.1
17418,NY New Rochelle,6781,13.9
17419,NY Buffalo,4752,9.0
17420,NY New Rochelle,5424,7.8
17423,NY Albany,97856,11.2
17424,NY Albany,4021,7.6
17425,NY New Rochelle,3821,8.9
17428,NY Albany,2344,7.2
17431,NY Albany,2607,6.3
17432,NY Albany,2227,11.8
17437,NY Mount Vernon,2152,13.8
17441,NY Mount Vernon,6326,12.9
17447,NY Buffalo,4013,18.9
17450,NY Buffalo,2373,8.4
17451,NY Albany,3448,3.9
17452,NY New Rochelle,3299,10.4
17453,NY Buffalo,2654,17.6
17456,NY Buffalo,3642,17.0
17457,NY Buffalo,4881,12.4
17459,NY Buffalo,4257,13.5
17461,NY Buffalo,2682,18.6
17462,NY New Rochelle,77062,9.3
17467,NY New Rochelle,6121,7.5
17468,NY Buffalo,1961,14.1
17469,NY Albany,1169,19.8
17470,NY Buffalo,3850,8.3
17474,NY New Rochelle,4325,8.4
17479,NY Buffalo,2283,21.2
17482,NY Mount Vernon,2499,13.3
17483,NY Buffalo,3718,21.6
17485,NY Mount Vernon,3873,14.8
17488,NY Mount Vernon,1686,12.3
17489,NY Buffalo,2883,7.3
17491,NY Buffalo,261310,13.0
17494,NY New Rochelle,5489,12.4
17495,NY Albany,6046,14.3
17496,NY Buffalo,4416,9.5
17497,NY Albany,4273,5.8
17513,NY Mount Vernon,2475,13.9
17514,NY Buffalo,3224,10.7
17516,NY Buffalo,2608,22.1
17519,NY New York,1703,9.0
17520,NY New York,3277,9.3
17521,NY New York,1558,9.9
17522,NY New York,3402,9.8
17523,NY New York,2469,5.6
17524,NY New York,2127,12.6
17525,NY New York,2676,13.7
17526,NY New York,5074,11.7
17527,NY New York,2333,13.7
17528,NY New York,3914,14.6
17529,NY New York,1090,14.2
17530,NY New York,2295,10.2
17531,NY New York,4729,12.2
17532,NY New York,3915,10.1
17533,NY New York,1351,9.8
17534,NY New York,3554,8.5
17535,NY New York,3901,5.9
17536,NY New York,2722,12.3
17537,NY New York,3097,8.3
17538,NY New York,1076,5.0
17539,NY New York,4942,5.1
17540,NY New York,5464,13.6
17541,NY New York,6664,12.9
17542,NY New York,9572,9.7
17543,NY New York,8554,7.3
17544,NY New York,2984,8.2
17545,NY New York,4730,13.4
17546,NY New York,5102,18.1
17547,NY New York,2005,18.9
17548,NY New York,7817,10.6
17550,NY New York,6535,9.5
17551,NY New York,1912,11.6
17552,NY New York,1381,13.2
17553,NY New York,5001,12.9
17554,NY New York,2487,12.5
17555,NY New York,4550,12.4
17556,NY New York,4332,6.3
17557,NY New York,3262,5.2
17558,NY New York,6476,13.0
17559,NY New York,9033,13.0
17560,NY New York,2406,9.6
17561,NY New York,4120,11.9
17562,NY New York,2489,11.0
17563,NY New York,3806,12.0
17564,NY New York,4357,8.6
17565,NY New York,4247,5.6
17566,NY New York,1255,15.0
17567,NY New York,2364,6.9
17568,NY New York,5491,14.8
17569,NY New York,6777,10.2
17570,NY New York,4093,9.2
17571,NY New York,2721,12.6
17572,NY New York,4592,10.4
17573,NY New York,1802,13.7
17574,NY New York,2930,13.2
17575,NY New York,2010,11.4
17576,NY New York,2367,8.9
17577,NY New York,3752,11.8
17578,NY New York,2246,7.9
17579,NY New York,3712,8.4
17580,NY New York,4062,8.7
17581,NY New York,1647,14.7
17582,NY New York,4669,15.8
