,States,City,DiagPer100k,PopCountByMM
40,NY,New York,10.9,"8,175,133"
41,NY,Rochester,13.6,"2,580"
42,NY,Rochester,12.3,"4,430"
44,NY,Yonkers,10.5,"195,976"
17147,NY,Mount Vernon,12.6,"4,502"
17149,NY,Buffalo,20.1,"1,150"
17153,NY,Albany,13.2,"5,888"
17154,NY,Buffalo,7.7,"1,458"
17160,NY,Buffalo,8.1,"3,354"
17163,NY,Buffalo,13.7,"3,336"
17165,NY,Albany,10.2,"3,676"
17166,NY,Albany,11.9,"2,051"
17168,NY,Mount Vernon,16.0,"3,866"
17169,NY,Buffalo,19.4,"2,425"
17174,NY,New Rochelle,7.4,"4,993"
17175,NY,Buffalo,9.1,"4,704"
17179,NY,New Rochelle,10.5,"6,216"
17180,NY,Albany,5.7,"3,773"
17182,NY,Buffalo,15.5,"2,681"
17183,NY,Mount Vernon,9.2,"3,449"
17184,NY,Buffalo,9.5,"5,469"
17185,NY,Buffalo,10.7,"2,761"
17195,NY,Buffalo,13.5,"4,182"
17201,NY,Buffalo,11.7,"4,076"
17202,NY,Albany,14.0,"2,139"
17204,NY,New Rochelle,9.7,"5,340"
17205,NY,Albany,9.4,"3,816"
17207,NY,Buffalo,14.4,"4,577"
17209,NY,Buffalo,14.6,"3,957"
17212,NY,New Rochelle,10.0,"77,062"
17219,NY,Buffalo,20.0,"2,294"
17223,NY,Mount Vernon,14.1,"3,444"
17225,NY,Mount Vernon,9.8,"3,367"
17228,NY,Buffalo,20.0,"3,311"
17229,NY,Buffalo,9.0,"2,409"
17230,NY,New Rochelle,10.8,"5,252"
17233,NY,Buffalo,11.4,"2,460"
17238,NY,Buffalo,7.6,"2,589"
17241,NY,Buffalo,21.5,"1,485"
17243,NY,Albany,6.0,"3,560"
17244,NY,Mount Vernon,15.7,"3,524"
17247,NY,Buffalo,10.8,"3,154"
17251,NY,Buffalo,1.5,"1,549"
17254,NY,Buffalo,11.4,"2,917"
17256,NY,Albany,5.8,"4,606"
17257,NY,Buffalo,14.3,"2,923"
17260,NY,Buffalo,7.7,"3,819"
17263,NY,Buffalo,9.7,"3,089"
17265,NY,Mount Vernon,12.9,"67,292"
17267,NY,Buffalo,13.0,"5,975"
17271,NY,Mount Vernon,11.0,"3,071"
17275,NY,Buffalo,19.9,"3,072"
17279,NY,New Rochelle,8.2,"5,429"
17280,NY,Albany,16.6,"2,872"
17282,NY,Albany,15.2,"3,821"
17283,NY,New Rochelle,10.6,"4,603"
17285,NY,Albany,10.2,"5,771"
17287,NY,Buffalo,19.2,"2,346"
