,States,City,Age-adj_preval,PopCountByMM
0,CA,Hayward,Age-adjusted prevalence,"144,186"
4,CA,Bellflower,Age-adjusted prevalence,"76,616"
9,FL,Cape Coral,Age-adjusted prevalence,"154,305"
16,KS,Kansas City,Age-adjusted prevalence,"145,786"
28,OH,Parma,Age-adjusted prevalence,"81,601"
42,TX,Dallas,Age-adjusted prevalence,"1,197,816"
49,WA,Spokane Valley,Age-adjusted prevalence,"89,755"
120,US,,Age-adjusted prevalence,"308,745,538"
157,AL,Birmingham,Age-adjusted prevalence,"212,237"
211,AL,Huntsville,Age-adjusted prevalence,"180,105"
294,AL,Montgomery,Age-adjusted prevalence,"205,764"
336,AL,Tuscaloosa,Age-adjusted prevalence,"90,468"
349,AL,Mobile,Age-adjusted prevalence,"195,111"
543,AZ,Mesa,Age-adjusted prevalence,"439,041"
566,CA,Antioch,Age-adjusted prevalence,"102,372"
571,AZ,Tucson,Age-adjusted prevalence,"520,116"
707,AR,Fort Smith,Age-adjusted prevalence,"86,209"
723,AR,Little Rock,Age-adjusted prevalence,"193,524"
728,AR,Springdale,Age-adjusted prevalence,"69,797"
729,CA,Alameda,Age-adjusted prevalence,"73,812"
764,AZ,Surprise,Age-adjusted prevalence,"117,517"
801,CA,Alhambra,Age-adjusted prevalence,"83,089"
803,CA,Anaheim,Age-adjusted prevalence,"336,265"
928,AZ,Tempe,Age-adjusted prevalence,"161,719"
957,AR,Fayetteville,Age-adjusted prevalence,"73,580"
999,AR,Jonesboro,Age-adjusted prevalence,"67,263"
1086,AZ,Yuma,Age-adjusted prevalence,"93,064"
1103,AZ,Scottsdale,Age-adjusted prevalence,"217,385"
1198,CA,Costa Mesa,Age-adjusted prevalence,"109,960"
1199,CA,Chico,Age-adjusted prevalence,"86,187"
1201,CA,Baldwin Park,Age-adjusted prevalence,"75,390"
1375,CA,Apple Valley,Age-adjusted prevalence,"69,135"
1381,CA,Carlsbad,Age-adjusted prevalence,"105,328"
1385,CA,Corona,Age-adjusted prevalence,"152,374"
1429,CA,Daly City,Age-adjusted prevalence,"101,123"
1513,CA,Chino,Age-adjusted prevalence,"77,983"
1547,CA,Carson,Age-adjusted prevalence,"91,714"
1578,CA,Chino Hills,Age-adjusted prevalence,"74,799"
1589,CA,Concord,Age-adjusted prevalence,"122,067"
1596,CA,Buena Park,Age-adjusted prevalence,"80,530"
1613,CA,Citrus Heights,Age-adjusted prevalence,"83,301"
1624,CA,Burbank,Age-adjusted prevalence,"103,340"
1633,CA,Berkeley,Age-adjusted prevalence,"112,580"
1662,CA,Clovis,Age-adjusted prevalence,"95,631"
1702,CA,Compton,Age-adjusted prevalence,"96,455"
1718,CA,Chula Vista,Age-adjusted prevalence,"243,916"
1744,CA,Downey,Age-adjusted prevalence,"111,772"
1747,CA,Bakersfield,Age-adjusted prevalence,"347,483"
1796,CA,Elk Grove,Age-adjusted prevalence,"153,015"
1900,CA,Hawthorne,Age-adjusted prevalence,"84,293"
1980,CA,Glendale,Age-adjusted prevalence,"191,719"
2000,CA,Garden Grove,Age-adjusted prevalence,"170,883"
2062,CA,Folsom,Age-adjusted prevalence,"72,203"
2066,CA,Fairfield,Age-adjusted prevalence,"105,321"
2073,CA,Escondido,Age-adjusted prevalence,"143,911"
2129,CA,El Monte,Age-adjusted prevalence,"113,475"
2184,CA,El Cajon,Age-adjusted prevalence,"99,478"
2190,CA,Fullerton,Age-adjusted prevalence,"135,161"
2256,CA,Fremont,Age-adjusted prevalence,"214,089"
2314,CA,Fresno,Age-adjusted prevalence,"494,665"
2324,CA,Fontana,Age-adjusted prevalence,"196,069"
2336,CA,Irvine,Age-adjusted prevalence,"212,375"
2417,CA,Hesperia,Age-adjusted prevalence,"90,173"
2469,CA,Inglewood,Age-adjusted prevalence,"109,673"
2498,CA,Livermore,Age-adjusted prevalence,"80,968"
2500,CA,Long Beach,Age-adjusted prevalence,"462,257"
2518,CA,Indio,Age-adjusted prevalence,"76,036"
2549,CA,Lancaster,Age-adjusted prevalence,"156,633"
2613,CA,Hemet,Age-adjusted prevalence,"78,657"
2618,CA,Lake Forest,Age-adjusted prevalence,"77,264"
2713,AZ,Chandler,Age-adjusted prevalence,"236,123"
2760,AL,Hoover,Age-adjusted prevalence,"81,619"
2774,AZ,Gilbert,Age-adjusted prevalence,"208,453"
2840,AZ,Avondale,Age-adjusted prevalence,"76,238"
2871,AK,Anchorage,Age-adjusted prevalence,"291,826"
2951,AZ,Glendale,Age-adjusted prevalence,"226,721"
3060,AZ,Phoenix,Age-adjusted prevalence,"1,445,632"
3122,AZ,Peoria,Age-adjusted prevalence,"154,065"
3323,CA,Huntington Beach,Age-adjusted prevalence,"189,992"
3398,CA,Lakewood,Age-adjusted prevalence,"80,048"
4378,CA,Los Angeles,Age-adjusted prevalence,"3,792,621"
4453,CA,Manteca,Age-adjusted prevalence,"67,096"
4473,CA,Napa,Age-adjusted prevalence,"76,915"
4517,CA,Milpitas,Age-adjusted prevalence,"66,790"
4531,CA,Menifee,Age-adjusted prevalence,"77,519"
4567,CA,Mountain View,Age-adjusted prevalence,"74,066"
4581,CA,Lynwood,Age-adjusted prevalence,"69,772"
4584,CA,Murrieta,Age-adjusted prevalence,"103,466"
4612,CA,Norwalk,Age-adjusted prevalence,"105,549"
4619,CA,Mission Viejo,Age-adjusted prevalence,"93,305"
4630,CA,Newport Beach,Age-adjusted prevalence,"85,186"
4677,CA,Moreno Valley,Age-adjusted prevalence,"193,365"
4707,CA,Modesto,Age-adjusted prevalence,"201,165"
4737,CA,Merced,Age-adjusted prevalence,"78,958"
4766,CA,Redwood City,Age-adjusted prevalence,"76,815"
4803,CA,Oakland,Age-adjusted prevalence,"390,724"
4804,CA,Perris,Age-adjusted prevalence,"68,386"
4809,CA,Palmdale,Age-adjusted prevalence,"152,750"
4825,CA,Redondo Beach,Age-adjusted prevalence,"66,748"
4912,CA,Richmond,Age-adjusted prevalence,"103,701"
4923,CA,Rancho Cucamonga,Age-adjusted prevalence,"165,269"
4967,CA,Rialto,Age-adjusted prevalence,"99,171"
4974,CA,Pasadena,Age-adjusted prevalence,"137,122"
4995,CA,Pleasanton,Age-adjusted prevalence,"70,285"
5002,CA,Redlands,Age-adjusted prevalence,"68,747"
5025,CA,Redding,Age-adjusted prevalence,"89,861"
5060,CA,Orange,Age-adjusted prevalence,"136,416"
5089,CA,Pomona,Age-adjusted prevalence,"149,058"
5196,CA,Ontario,Age-adjusted prevalence,"163,924"
5210,CA,Oceanside,Age-adjusted prevalence,"167,086"
5285,CA,Oxnard,Age-adjusted prevalence,"197,899"
5537,CA,San Buenaventura (Ventura),Age-adjusted prevalence,"106,433"
5645,CA,San Bernardino,Age-adjusted prevalence,"209,924"
5827,CA,Salinas,Age-adjusted prevalence,"150,441"
5854,CA,Sacramento,Age-adjusted prevalence,"466,488"
5915,CA,San Diego,Age-adjusted prevalence,"1,307,402"
5944,CA,Roseville,Age-adjusted prevalence,"118,788"
5956,CA,Riverside,Age-adjusted prevalence,"303,871"
6021,CA,San Ramon,Age-adjusted prevalence,"72,148"
6072,CO,Loveland,Age-adjusted prevalence,"66,859"
6095,CA,San Leandro,Age-adjusted prevalence,"84,950"
6207,CA,Santa Ana,Age-adjusted prevalence,"324,528"
6400,CA,San Jose,Age-adjusted prevalence,"945,942"
6457,CA,San Mateo,Age-adjusted prevalence,"97,207"
6470,CA,San Marcos,Age-adjusted prevalence,"83,781"
6493,CA,San Francisco,Age-adjusted prevalence,"805,235"
6569,CA,Santa Barbara,Age-adjusted prevalence,"88,410"
6605,CA,Union City,Age-adjusted prevalence,"69,516"
6629,CA,Simi Valley,Age-adjusted prevalence,"124,237"
6638,CA,Sunnyvale,Age-adjusted prevalence,"140,081"
6641,CA,Tracy,Age-adjusted prevalence,"82,922"
6673,CA,Torrance,Age-adjusted prevalence,"145,438"
6674,CA,Turlock,Age-adjusted prevalence,"68,549"
6725,CA,Santa Rosa,Age-adjusted prevalence,"167,815"
6769,CA,Vacaville,Age-adjusted prevalence,"92,428"
6786,CA,Tustin,Age-adjusted prevalence,"75,540"
6789,CA,Upland,Age-adjusted prevalence,"73,732"
6793,CA,Santa Clarita,Age-adjusted prevalence,"176,320"
6800,CA,South Gate,Age-adjusted prevalence,"94,396"
6901,CA,Santa Maria,Age-adjusted prevalence,"99,553"
6903,CA,Stockton,Age-adjusted prevalence,"291,707"
6904,CA,Thousand Oaks,Age-adjusted prevalence,"126,683"
6911,CA,Temecula,Age-adjusted prevalence,"100,097"
6940,CA,Santa Clara,Age-adjusted prevalence,"116,468"
6989,CA,Santa Monica,Age-adjusted prevalence,"89,736"
7136,CA,Vista,Age-adjusted prevalence,"93,834"
7147,CA,Westminster,Age-adjusted prevalence,"89,701"
7504,CO,Centennial,Age-adjusted prevalence,"100,377"
7523,CA,Whittier,Age-adjusted prevalence,"85,331"
7558,CA,West Covina,Age-adjusted prevalence,"106,098"
7565,CO,Arvada,Age-adjusted prevalence,"106,433"
7566,CO,Denver,Age-adjusted prevalence,"600,158"
7570,CA,Victorville,Age-adjusted prevalence,"115,903"
7601,CO,Aurora,Age-adjusted prevalence,"325,078"
7645,CO,Boulder,Age-adjusted prevalence,"97,385"
7664,CA,Visalia,Age-adjusted prevalence,"124,442"
7668,CO,Colorado Springs,Age-adjusted prevalence,"416,427"
7713,CA,Vallejo,Age-adjusted prevalence,"115,942"
7834,CT,Stamford,Age-adjusted prevalence,"122,643"
7869,CO,Lakewood,Age-adjusted prevalence,"142,980"
7881,CO,Longmont,Age-adjusted prevalence,"86,270"
7963,CO,Pueblo,Age-adjusted prevalence,"106,595"
7993,CO,Thornton,Age-adjusted prevalence,"118,772"
8010,CT,Bridgeport,Age-adjusted prevalence,"144,229"
8015,DE,Wilmington,Age-adjusted prevalence,"70,851"
8043,CT,New Haven,Age-adjusted prevalence,"129,779"
8056,CO,Greeley,Age-adjusted prevalence,"92,889"
8100,CT,Danbury,Age-adjusted prevalence,"80,893"
8104,CT,Norwalk,Age-adjusted prevalence,"85,603"
8202,CO,Westminster,Age-adjusted prevalence,"106,114"
8216,CT,New Britain,Age-adjusted prevalence,"73,206"
8222,CT,Hartford,Age-adjusted prevalence,"124,775"
8277,CT,Waterbury,Age-adjusted prevalence,"110,366"
8278,CO,Fort Collins,Age-adjusted prevalence,"143,986"
8356,FL,Hollywood,Age-adjusted prevalence,"140,768"
8384,FL,Fort Lauderdale,Age-adjusted prevalence,"165,521"
8386,FL,Deltona,Age-adjusted prevalence,"85,182"
8529,DC,Washington,Age-adjusted prevalence,"601,723"
8597,FL,Clearwater,Age-adjusted prevalence,"107,685"
8626,FL,Boynton Beach,Age-adjusted prevalence,"68,217"
8642,FL,Davie,Age-adjusted prevalence,"91,992"
8666,FL,Deerfield Beach,Age-adjusted prevalence,"75,018"
8759,FL,Hialeah,Age-adjusted prevalence,"224,669"
8774,FL,Gainesville,Age-adjusted prevalence,"124,354"
8798,FL,Boca Raton,Age-adjusted prevalence,"84,392"
8839,FL,Coral Springs,Age-adjusted prevalence,"121,096"
8877,FL,Jacksonville,Age-adjusted prevalence,"821,784"
8897,FL,Orlando,Age-adjusted prevalence,"238,300"
8975,FL,Miami Gardens,Age-adjusted prevalence,"107,167"
8983,FL,Miami,Age-adjusted prevalence,"399,457"
8999,FL,Lauderhill,Age-adjusted prevalence,"66,887"
9026,FL,Palm Bay,Age-adjusted prevalence,"103,190"
9047,FL,Largo,Age-adjusted prevalence,"77,648"
9066,FL,Pembroke Pines,Age-adjusted prevalence,"154,750"
9083,FL,Palm Coast,Age-adjusted prevalence,"75,180"
9085,FL,Lakeland,Age-adjusted prevalence,"97,422"
9153,FL,Miramar,Age-adjusted prevalence,"122,041"
9410,FL,Melbourne,Age-adjusted prevalence,"76,068"
9437,FL,Miami Beach,Age-adjusted prevalence,"87,779"
9559,GA,Albany,Age-adjusted prevalence,"77,434"
9643,FL,Plantation,Age-adjusted prevalence,"84,955"
9659,FL,Tampa,Age-adjusted prevalence,"335,709"
9730,FL,West Palm Beach,Age-adjusted prevalence,"99,919"
9872,FL,Tallahassee,Age-adjusted prevalence,"181,376"
9884,FL,St. Petersburg,Age-adjusted prevalence,"244,769"
9885,GA,Athens,Age-adjusted prevalence,"115,452"
9899,FL,Port St. Lucie,Age-adjusted prevalence,"164,603"
9977,FL,Sunrise,Age-adjusted prevalence,"84,439"
10012,FL,Pompano Beach,Age-adjusted prevalence,"99,845"
10019,GA,Atlanta,Age-adjusted prevalence,"420,003"
10079,GA,Warner Robins,Age-adjusted prevalence,"66,588"
10180,ID,Boise City,Age-adjusted prevalence,"205,671"
10195,GA,Macon,Age-adjusted prevalence,"91,351"
10254,GA,Johns Creek,Age-adjusted prevalence,"76,728"
10267,GA,Augusta,Age-adjusted prevalence,"195,844"
10316,GA,Savannah,Age-adjusted prevalence,"136,286"
10348,HI,Honolulu,Age-adjusted prevalence,"953,207"
10468,ID,Meridian,Age-adjusted prevalence,"75,092"
10590,ID,Nampa,Age-adjusted prevalence,"81,557"
10609,GA,Sandy Springs,Age-adjusted prevalence,"93,853"
10635,GA,Roswell,Age-adjusted prevalence,"88,346"
