,States,City,Age-adj_preval,PopCountByMM
5,TX,Abilene,Age-adjusted prevalence,"117,063"
72,OH,Akron,Age-adjusted prevalence,"199,110"
118,CA,Alameda,Age-adjusted prevalence,"73,812"
131,GA,Albany,Age-adjusted prevalence,"77,434"
174,NY,Albany,Age-adjusted prevalence,"97,856"
208,NM,Albuquerque,Age-adjusted prevalence,"545,852"
326,VA,Alexandria,Age-adjusted prevalence,"139,966"
382,CA,Alhambra,Age-adjusted prevalence,"83,089"
395,TX,Allen,Age-adjusted prevalence,"84,246"
413,PA,Allentown,Age-adjusted prevalence,"118,032"
470,TX,Amarillo,Age-adjusted prevalence,"190,695"
507,CA,Anaheim,Age-adjusted prevalence,"336,265"
592,AK,Anchorage,Age-adjusted prevalence,"291,826"
627,MI,Ann Arbor,Age-adjusted prevalence,"113,934"
666,CA,Antioch,Age-adjusted prevalence,"102,372"
682,CA,Apple Valley,Age-adjusted prevalence,"69,135"
698,WI,Appleton,Age-adjusted prevalence,"72,623"
747,TX,Arlington,Age-adjusted prevalence,"365,438"
812,IL,Arlington Heights,Age-adjusted prevalence,"75,101"
843,CO,Arvada,Age-adjusted prevalence,"106,433"
860,NC,Asheville,Age-adjusted prevalence,"83,393"
921,GA,Athens,Age-adjusted prevalence,"115,452"
987,GA,Atlanta,Age-adjusted prevalence,"420,003"
1069,WA,Auburn,Age-adjusted prevalence,"70,180"
1125,GA,Augusta,Age-adjusted prevalence,"195,844"
1189,CO,Aurora,Age-adjusted prevalence,"325,078"
1247,IL,Aurora,Age-adjusted prevalence,"197,899"
1269,TX,Austin,Age-adjusted prevalence,"790,390"
1488,AZ,Avondale,Age-adjusted prevalence,"76,238"
1505,CA,Bakersfield,Age-adjusted prevalence,"347,483"
1579,CA,Baldwin Park,Age-adjusted prevalence,"75,390"
1657,MD,Baltimore,Age-adjusted prevalence,"620,961"
1806,LA,Baton Rouge,Age-adjusted prevalence,"229,493"
1871,TX,Baytown,Age-adjusted prevalence,"71,802"
1925,TX,Beaumont,Age-adjusted prevalence,"118,296"
1929,OR,Beaverton,Age-adjusted prevalence,"89,803"
1964,WA,Bellevue,Age-adjusted prevalence,"122,363"
2009,CA,Bellflower,Age-adjusted prevalence,"76,616"
2013,WA,Bellingham,Age-adjusted prevalence,"80,885"
2035,OR,Bend,Age-adjusted prevalence,"76,639"
2068,CA,Berkeley,Age-adjusted prevalence,"112,580"
2080,PA,Bethlehem,Age-adjusted prevalence,"74,982"
2108,MT,Billings,Age-adjusted prevalence,"104,170"
2154,AL,Birmingham,Age-adjusted prevalence,"212,237"
2240,IL,Bloomington,Age-adjusted prevalence,"76,610"
2269,IN,Bloomington,Age-adjusted prevalence,"80,405"
2298,MN,Bloomington,Age-adjusted prevalence,"82,893"
2323,FL,Boca Raton,Age-adjusted prevalence,"84,392"
2354,ID,Boise City,Age-adjusted prevalence,"205,671"
2381,IL,Bolingbrook,Age-adjusted prevalence,"73,366"
2471,MA,Boston,Age-adjusted prevalence,"617,594"
2599,CO,Boulder,Age-adjusted prevalence,"97,385"
2616,FL,Boynton Beach,Age-adjusted prevalence,"68,217"
2646,CT,Bridgeport,Age-adjusted prevalence,"144,229"
2687,MA,Brockton,Age-adjusted prevalence,"93,810"
2706,OK,Broken Arrow,Age-adjusted prevalence,"98,850"
