,States,City,Age-adj_preval,PopCountByMM
14,PA,Bethlehem,Age-adjusted prevalence,"74,982"
40,AL,Tuscaloosa,Age-adjusted prevalence,"90,468"
90,AL,Montgomery,Age-adjusted prevalence,"205,764"
190,AZ,Chandler,Age-adjusted prevalence,"236,123"
191,AL,Birmingham,Age-adjusted prevalence,"212,237"
305,US,,Age-adjusted prevalence,"308,745,538"
351,AK,Anchorage,Age-adjusted prevalence,"291,826"
544,AR,Fort Smith,Age-adjusted prevalence,"86,209"
554,AZ,Surprise,Age-adjusted prevalence,"117,517"
652,CA,Alhambra,Age-adjusted prevalence,"83,089"
667,CA,Anaheim,Age-adjusted prevalence,"336,265"
734,CA,Antioch,Age-adjusted prevalence,"102,372"
774,CA,Alameda,Age-adjusted prevalence,"73,812"
847,AR,Fayetteville,Age-adjusted prevalence,"73,580"
852,AR,Springdale,Age-adjusted prevalence,"69,797"
867,AZ,Yuma,Age-adjusted prevalence,"93,064"
938,AR,Jonesboro,Age-adjusted prevalence,"67,263"
1012,AR,Little Rock,Age-adjusted prevalence,"193,524"
1060,AZ,Scottsdale,Age-adjusted prevalence,"217,385"
1073,AZ,Tempe,Age-adjusted prevalence,"161,719"
1121,AZ,Tucson,Age-adjusted prevalence,"520,116"
1208,CA,Daly City,Age-adjusted prevalence,"101,123"
1221,CA,Citrus Heights,Age-adjusted prevalence,"83,301"
1264,CA,Chino,Age-adjusted prevalence,"77,983"
1279,CA,Corona,Age-adjusted prevalence,"152,374"
1282,CA,Costa Mesa,Age-adjusted prevalence,"109,960"
1298,CA,Downey,Age-adjusted prevalence,"111,772"
1309,CA,Berkeley,Age-adjusted prevalence,"112,580"
1403,CA,Compton,Age-adjusted prevalence,"96,455"
1412,CA,Chico,Age-adjusted prevalence,"86,187"
1437,CA,Apple Valley,Age-adjusted prevalence,"69,135"
1447,CA,Baldwin Park,Age-adjusted prevalence,"75,390"
1452,CA,Bakersfield,Age-adjusted prevalence,"347,483"
1459,CA,Carlsbad,Age-adjusted prevalence,"105,328"
1461,CA,Bellflower,Age-adjusted prevalence,"76,616"
1484,CA,Burbank,Age-adjusted prevalence,"103,340"
1485,CA,Concord,Age-adjusted prevalence,"122,067"
1494,CA,Buena Park,Age-adjusted prevalence,"80,530"
1495,CA,Chula Vista,Age-adjusted prevalence,"243,916"
1525,CA,Clovis,Age-adjusted prevalence,"95,631"
1553,CA,Carson,Age-adjusted prevalence,"91,714"
1613,CA,Chino Hills,Age-adjusted prevalence,"74,799"
1774,CA,Fairfield,Age-adjusted prevalence,"105,321"
1785,CA,El Monte,Age-adjusted prevalence,"113,475"
1797,CA,El Cajon,Age-adjusted prevalence,"99,478"
1832,CA,Fremont,Age-adjusted prevalence,"214,089"
1847,CA,Hawthorne,Age-adjusted prevalence,"84,293"
1857,CA,Fresno,Age-adjusted prevalence,"494,665"
1925,CA,Hayward,Age-adjusted prevalence,"144,186"
1934,CA,Glendale,Age-adjusted prevalence,"191,719"
1969,CA,Folsom,Age-adjusted prevalence,"72,203"
2004,CA,Escondido,Age-adjusted prevalence,"143,911"
2026,CA,Fullerton,Age-adjusted prevalence,"135,161"
2171,CA,Garden Grove,Age-adjusted prevalence,"170,883"
2235,CA,Fontana,Age-adjusted prevalence,"196,069"
2276,CA,Elk Grove,Age-adjusted prevalence,"153,015"
2314,CA,Irvine,Age-adjusted prevalence,"212,375"
2453,CA,Hemet,Age-adjusted prevalence,"78,657"
2504,CA,Huntington Beach,Age-adjusted prevalence,"189,992"
2524,CA,Lakewood,Age-adjusted prevalence,"80,048"
2563,CA,Indio,Age-adjusted prevalence,"76,036"
2579,CA,Livermore,Age-adjusted prevalence,"80,968"
2639,AL,Huntsville,Age-adjusted prevalence,"180,105"
2685,AL,Mobile,Age-adjusted prevalence,"195,111"
2790,AZ,Gilbert,Age-adjusted prevalence,"208,453"
2797,AL,Hoover,Age-adjusted prevalence,"81,619"
2835,AZ,Avondale,Age-adjusted prevalence,"76,238"
2894,AZ,Mesa,Age-adjusted prevalence,"439,041"
2984,AZ,Peoria,Age-adjusted prevalence,"154,065"
3099,AZ,Glendale,Age-adjusted prevalence,"226,721"
3243,AZ,Phoenix,Age-adjusted prevalence,"1,445,632"
3293,CA,Long Beach,Age-adjusted prevalence,"462,257"
3302,CA,Lancaster,Age-adjusted prevalence,"156,633"
3334,CA,Lake Forest,Age-adjusted prevalence,"77,264"
3362,CA,Inglewood,Age-adjusted prevalence,"109,673"
3378,CA,Hesperia,Age-adjusted prevalence,"90,173"
3937,CA,Los Angeles,Age-adjusted prevalence,"3,792,621"
4443,CA,Norwalk,Age-adjusted prevalence,"105,549"
4451,CA,Napa,Age-adjusted prevalence,"76,915"
4477,CA,Mountain View,Age-adjusted prevalence,"74,066"
4478,CA,Manteca,Age-adjusted prevalence,"67,096"
4507,CA,Mission Viejo,Age-adjusted prevalence,"93,305"
