,TX_City,TX_PopByMM,TX_DiagPer100k
66,TX Austin,"3,712",13.6
67,TX Austin,"3,475",6.8
68,TX Beaumont,"5,098",10.8
69,TX Dallas,"5,879",13.4
70,TX Dallas,"3,961",13.8
71,TX Dallas,"11,019",11.1
72,TX Fort Worth,"2,202",14.4
73,TX Fort Worth,"9,155",9.0
74,TX Fort Worth,"16,579",5.6
75,TX Garland,"4,527",8.3
412,TX Killeen,"6,322",8.9
413,TX Longview,"3,701",13.0
415,TX Plano,"3,639",9.7
22831,TX Arlington,"3,318",10.9
23631,TX Amarillo,"4,211",11.6
23636,TX Abilene,"2,229",12.2
23637,TX Amarillo,"3,255",17.2
23641,TX Abilene,"7,647",10.8
23643,TX Arlington,"2,239",7.6
23645,TX Arlington,"4,201",11.6
23648,TX Abilene,"2,684",9.9
23650,TX Arlington,"2,960",12.4
23652,TX Amarillo,"2,825",12.5
23653,TX Arlington,"6,676",14.0
23654,TX Arlington,"3,837",11.3
23658,TX Amarillo,"4,608",9.2
23660,TX Arlington,"6,602",9.7
23661,TX Amarillo,"5,288",10.2
23673,TX Amarillo,"5,745",7.6
23675,TX Abilene,"1,209",14.7
23677,TX Arlington,"12,483",8.3
23679,TX Arlington,"3,319",6.6
23680,TX Abilene,"3,924",8.1
23684,TX Amarillo,"1,745",16.3
23685,TX Arlington,"365,438",10.4
23687,TX Arlington,"7,182",11.2
23695,TX Amarillo,"3,993",8.3
23697,TX Amarillo,"2,892",8.4
23703,TX Arlington,"3,369",10.2
23705,TX Allen,"12,037",6.5
23708,TX Allen,"16,818",6.6
23711,TX Arlington,"4,183",8.3
23713,TX Amarillo,"1,932",10.3
23717,TX Abilene,"117,063",11.5
23718,TX Abilene,"3,694",11.4
23725,TX Amarillo,"6,184",13.4
23730,TX Allen,"5,626",10.1
23733,TX Allen,"3,794",7.4
23735,TX Amarillo,"1,961",10.7
23736,TX Abilene,"2,242",3.4
23739,TX Arlington,"5,251",9.4
23740,TX Amarillo,"1,949",11.5
23743,TX Arlington,"4,580",10.0
23745,TX Abilene,"4,482",9.7
23759,TX Arlington,"4,022",10.0
23761,TX Abilene,468,23.1
23762,TX Abilene,"2,400",9.2
23763,TX Arlington,"5,480",12.2
23767,TX Amarillo,"2,059",10.7
23769,TX Amarillo,"2,266",11.5
23774,TX Arlington,"4,023",10.4
23781,TX Abilene,"2,899",12.2
23784,TX Allen,"8,587",9.5
23786,TX Abilene,223,11.4
23787,TX Amarillo,"4,155",10.2
23789,TX Amarillo,"3,262",11.6
23791,TX Arlington,"4,112",5.8
23793,TX Amarillo,"5,053",15.7
23794,TX Abilene,"4,394",8.4
23798,TX Arlington,"15,275",9.8
