Product ,Flow,Country,Product Classification,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0--All Merchandise,Imports,Taiwan,HS - 2,Millions of USD,37939.0,40840.0,40911.0,39199.0,42418.0,45709.0,54229.0,60432.0,77064.0,91845.0
85--Electric Machinery Etc; Sound Equip,Imports,Taiwan,HS - 2,Millions of USD,13897.0,14721.0,14166.0,13780.0,14056.0,14153.0,16051.0,18582.0,23259.0,28990.0
"84--Nuclear Reactors, Boilers, Machinery",Imports,Taiwan,HS - 2,Millions of USD,6622.0,7053.0,6709.0,6820.0,8177.0,9809.0,15516.0,18454.0,23588.0,28194.0
73--Articles Of Iron Or Steel,Imports,Taiwan,HS - 2,Millions of USD,2295.0,2471.0,2535.0,2226.0,2636.0,3049.0,2987.0,2613.0,3361.0,4729.0
"87--Vehicles, Except Railway Or Tramway",Imports,Taiwan,HS - 2,Millions of USD,2366.0,2447.0,2696.0,2503.0,2605.0,2796.0,2962.0,2941.0,3750.0,4527.0
39--Plastics & Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,1681.0,1755.0,1865.0,1837.0,1956.0,1986.0,2091.0,2200.0,3049.0,3421.0
"90--Optic, Photo, Medic Or Surgical Instrments",Imports,Taiwan,HS - 2,Millions of USD,1094.0,1266.0,1226.0,1140.0,1321.0,1575.0,1902.0,2188.0,2493.0,2638.0
"95--Toys, Games & Sport Equipment",Imports,Taiwan,HS - 2,Millions of USD,807.0,865.0,935.0,931.0,991.0,1060.0,1256.0,1694.0,2733.0,1869.0
"98--Special Classification Provisions, Nesoi",Imports,Taiwan,HS - 2,Millions of USD,815.0,887.0,964.0,1037.0,1056.0,1280.0,1191.0,1435.0,1503.0,1766.0
94--Furniture; Bedding,Imports,Taiwan,HS - 2,Millions of USD,965.0,1026.0,1140.0,1101.0,1155.0,1124.0,1289.0,1442.0,1755.0,1685.0
83--Miscellaneous Articles Of Base Metal,Imports,Taiwan,HS - 2,Millions of USD,705.0,729.0,747.0,739.0,760.0,840.0,871.0,963.0,1198.0,1507.0
72--Iron And Steel,Imports,Taiwan,HS - 2,Millions of USD,742.0,1116.0,1047.0,810.0,975.0,793.0,558.0,480.0,1170.0,1502.0
"82--Tools, Cutlery Etc. Of Base Metal",Imports,Taiwan,HS - 2,Millions of USD,678.0,682.0,746.0,705.0,744.0,761.0,837.0,947.0,1219.0,1358.0
40--Rubber & Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,692.0,720.0,822.0,746.0,844.0,880.0,922.0,938.0,825.0,928.0
"99--Special Import Provisions, Nesoi",Imports,Taiwan,HS - 2,Millions of USD,500.0,597.0,568.0,526.0,542.0,596.0,641.0,615.0,634.0,817.0
29--Organic Chemicals,Imports,Taiwan,HS - 2,Millions of USD,334.0,506.0,390.0,366.0,457.0,479.0,370.0,333.0,651.0,752.0
"27--Mineral Fuel, Oil; Bitumin Subst",Imports,Taiwan,HS - 2,Millions of USD,40.0,67.0,241.0,92.0,143.0,302.0,221.0,130.0,245.0,661.0
38--Miscellaneous Chemical Products,Imports,Taiwan,HS - 2,Millions of USD,252.0,263.0,269.0,242.0,314.0,336.0,284.0,325.0,348.0,424.0
"71--Nat Etc Pearls, Prec Etc Stones",Imports,Taiwan,HS - 2,Millions of USD,105.0,148.0,99.0,71.0,49.0,121.0,133.0,116.0,410.0,385.0
30--Pharmaceutical Products,Imports,Taiwan,HS - 2,Millions of USD,54.0,70.0,81.0,110.0,123.0,147.0,200.0,201.0,375.0,374.0
28--Inorg Chem; Prec & Rare-Earth Met,Imports,Taiwan,HS - 2,Millions of USD,88.0,124.0,103.0,119.0,170.0,193.0,164.0,168.0,224.0,356.0
70--Glass And Glassware,Imports,Taiwan,HS - 2,Millions of USD,223.0,231.0,253.0,242.0,243.0,284.0,290.0,283.0,308.0,324.0
74--Copper And Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,167.0,172.0,174.0,160.0,178.0,204.0,213.0,189.0,256.0,322.0
76--Aluminum And Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,124.0,127.0,137.0,159.0,225.0,309.0,352.0,253.0,251.0,310.0
"89--Ships, Boats And Floating Structures",Imports,Taiwan,HS - 2,Millions of USD,110.0,105.0,174.0,162.0,176.0,122.0,207.0,241.0,180.0,288.0
48--Paper & Paperboard,Imports,Taiwan,HS - 2,Millions of USD,145.0,144.0,162.0,166.0,181.0,200.0,232.0,205.0,214.0,282.0
21--Miscellaneous Edible Preparations,Imports,Taiwan,HS - 2,Millions of USD,56.0,60.0,62.0,68.0,80.0,92.0,103.0,133.0,214.0,228.0
93--Arms & Ammunition,Imports,Taiwan,HS - 2,Millions of USD,96.0,99.0,103.0,102.0,85.0,95.0,105.0,146.0,239.0,198.0
63--Textile Art Nesoi; Needlecraft Sets,Imports,Taiwan,HS - 2,Millions of USD,122.0,115.0,143.0,129.0,131.0,137.0,135.0,156.0,175.0,192.0
42--Leather Art; Saddlery,Imports,Taiwan,HS - 2,Millions of USD,92.0,95.0,84.0,69.0,65.0,63.0,126.0,106.0,144.0,192.0
"19--Prep Cereal, Flour, Starch",Imports,Taiwan,HS - 2,Millions of USD,62.0,58.0,59.0,64.0,68.0,80.0,97.0,131.0,146.0,191.0
58--Spec Wov Fabrics,Imports,Taiwan,HS - 2,Millions of USD,122.0,126.0,124.0,120.0,119.0,116.0,132.0,124.0,151.0,171.0
03--Fish & Aquatic Invertebrates,Imports,Taiwan,HS - 2,Millions of USD,120.0,131.0,132.0,149.0,170.0,133.0,144.0,117.0,147.0,155.0
"33--Essential Oils; Perfumery, Cosmetic",Imports,Taiwan,HS - 2,Millions of USD,51.0,48.0,84.0,83.0,82.0,86.0,87.0,88.0,123.0,132.0
61--Apparel Articles & Accessories,Imports,Taiwan,HS - 2,Millions of USD,263.0,262.0,243.0,177.0,163.0,135.0,120.0,91.0,111.0,126.0
59--Impregnated Etc Text Fabrics,Imports,Taiwan,HS - 2,Millions of USD,87.0,96.0,109.0,97.0,95.0,102.0,98.0,89.0,105.0,124.0
"54--Manmade Filaments, Including Yarns",Imports,Taiwan,HS - 2,Millions of USD,107.0,108.0,100.0,86.0,87.0,94.0,98.0,76.0,92.0,114.0
